"uuid:ID","id","name","dateValue","label","description","instanceType"
"4da9f1f9-5155-4767-834a-07ee0f48bc64","GovernanceDate_1","D_APPROVE","2006-06-01","Design Approval","Design approval date","GovernanceDate"
"638dc8d1-e4d3-4eb3-8af5-1aca41237ffa","GovernanceDate_2","P_APPROVE","2006-07-01","Protocol Approval","Protocol document approval date","GovernanceDate"
