"id","name","isRequired","datatype","label","uuid:ID","isEnabled","instanceType"
"BiomedicalConceptProperty_116","Sex","True","string","Sex","cc22a464-dbb0-4dee-af30-055693285671","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_117","Race","True","string","Race","dfefea58-0312-45f1-8c1c-513c8d3287fa","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_118","VSTESTCD","True","","VSTESTCD","2dfe0efd-0706-454b-a20a-b7c8e6006ad0","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_119","VSORRES","True","float","VSORRES","119decd1-19a2-42bf-88d7-cf044a8042fb","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_120","VSORRESU","True","","VSORRESU","c8f52483-7994-440c-87ed-3a5f407da8f3","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_121","VSLOC","True","","VSLOC","c7b3f3d8-0df1-4359-80e1-c8f1f58fa113","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_122","VSTESTCD","True","","VSTESTCD","355f77c7-f54d-4a2d-8f07-759db7ab914c","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_123","VSORRES","True","float","VSORRES","7ff84e7a-89fa-4f22-bb87-45388cb9cd5d","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_124","VSORRESU","True","","VSORRESU","109b87d8-f920-424d-95cb-48679521835f","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_125","VSTESTCD","True","","VSTESTCD","dde55231-c2e8-4dc8-aca7-e25ff610ecec","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_126","VSORRES","True","float","VSORRES","75ee2585-6243-471c-af48-d34b71ee11e2","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_127","VSORRESU","True","","VSORRESU","9cc41923-aeab-4830-8527-69b43f0544a2","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_128","LBTESTCD","True","","LBTESTCD","6e0f6f40-2375-4921-8504-9514080f0253","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_129","LBORRES","True","float","LBORRES","6e96962e-36b7-4bfa-be16-73719bf3d419","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_130","LBORRESU","True","","LBORRESU","62beb9bb-40ef-49be-af8e-d47a826d62fb","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_131","LBSPEC","True","","LBSPEC","85887c85-e93c-4d9e-aa14-fa1bd3694f79","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_132","LBFAST","True","","LBFAST","bcc2da81-a8f9-4d23-8287-18b340d54ebd","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_133","LBTESTCD","True","","LBTESTCD","78805720-2ea2-4696-bd9c-b70367bf3925","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_134","LBORRES","True","text","LBORRES","e401a95f-8a14-4d04-9b6e-3d7cf6d94726","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_135","LBSPEC","True","","LBSPEC","f8306d4a-0230-4ac4-8277-34dff9a5a9eb","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_136","LBFAST","True","","LBFAST","1ce5dc0a-b152-42ae-8ee0-765ca6bb5b09","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_137","LBTESTCD","True","","LBTESTCD","c82f5f79-e70d-42b7-bee2-b8569b699d0c","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_138","LBORRES","True","float","LBORRES","59f56084-be6c-46e0-a941-918fbc9e8ebb","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_139","LBORRESU","True","","LBORRESU","a71cb732-4a6e-4085-a1a1-32592c07d610","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_140","LBSPEC","True","","LBSPEC","f980f5a3-8653-42a3-bcce-d2cefda4bb61","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_141","LBFAST","True","","LBFAST","f3a3ed69-92f3-4245-a4ee-8d736da9a53a","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_142","LBTESTCD","True","","LBTESTCD","d4d7beb3-b118-4166-ac30-e5f7b54c8f47","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_143","LBORRES","True","float","LBORRES","73c56e80-b545-4c47-aeaa-462bc108c75c","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_144","LBORRESU","True","","LBORRESU","04d411a8-2701-4252-b95c-007bbe62bbfc","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_145","LBSPEC","True","","LBSPEC","76a1a827-9c41-409e-820c-b30b6c7a8c90","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_146","LBFAST","True","","LBFAST","73656507-3bab-4505-ba16-9aaee056ec66","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_147","LBTESTCD","True","","LBTESTCD","e3ac85b2-0a9a-49aa-b4a5-c5408473c63d","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_148","LBORRES","True","float","LBORRES","a480fcf5-e620-4f23-a242-eb976c43d820","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_149","LBORRESU","True","","LBORRESU","59901f8e-4c8c-44e6-bf04-35879627ef10","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_150","LBSPEC","True","","LBSPEC","bd83aa8e-ba4b-4a21-9604-ee120618159c","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_151","LBFAST","True","","LBFAST","93b05a34-e1b0-4efb-bf20-ff23bbbdad55","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_152","LBTESTCD","True","","LBTESTCD","9b79cee5-ac3d-4a67-ac32-a77fb12b05de","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_153","LBORRES","True","float","LBORRES","9a2a24f4-71dd-413b-9657-0813fb17589a","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_154","LBORRESU","True","","LBORRESU","c800f010-2334-424b-a11c-abd070f7109d","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_155","LBSPEC","True","","LBSPEC","8e992dab-8acf-44be-9a1f-7b80d66defe2","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_156","LBFAST","True","","LBFAST","723e6c30-6670-42dd-8cfd-d22d030f6cc8","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_157","LBTESTCD","True","","LBTESTCD","38745b57-67a7-4eb0-bda7-fe79efe111eb","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_158","LBORRES","True","float","LBORRES","f0808879-dd59-4b8b-bdba-048a1373b577","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_159","LBORRESU","True","","LBORRESU","68db5dab-e4a1-48eb-b27e-236d66662319","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_160","LBSPEC","True","","LBSPEC","5784a2d8-d62b-4dd8-9fa2-95a167b9130b","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_161","LBFAST","True","","LBFAST","cc038893-c394-4f8f-a942-997218db92ec","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_162","LBTESTCD","True","","LBTESTCD","56d95f4b-351e-45c7-9b86-05eba7fea601","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_163","LBORRES","True","float","LBORRES","dd7937be-60fc-440a-9623-5b66abf7ba55","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_164","LBORRESU","True","","LBORRESU","02e3ebca-eed3-4e0e-89e2-4170119646d2","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_165","LBSPEC","True","","LBSPEC","3e9d0695-6e01-45c5-b75d-d99b08b51117","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_166","LBFAST","True","","LBFAST","1ec335c2-1a46-47a4-b60c-4071432285e7","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_1","AETERM","True","text","AETERM","8415cbfa-3081-40ec-bd5b-e2a1751d1e60","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_2","AEDECOD","True","text","AEDECOD","69528301-4991-452a-aefc-2c5cbf956bb1","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_3","AEPRESP","True","text","AEPRESP","3e2da21c-5206-479d-a537-d722501b1917","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_4","AELOC","True","text","AELOC","fbdd26d4-dded-4798-84c3-bb84e1dd2110","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_5","AESEV","True","text","AESEV","5b0e96bc-e689-4c44-9fab-0526388a858b","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_6","AESER","True","text","AESER","41545e90-5be6-46a4-b050-b35b247a9c13","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_7","AEACN","True","text","AEACN","1ec21b14-1b88-4f40-a3e5-b24f785ad49b","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_8","AEACNOTH","True","text","AEACNOTH","172ce18a-e4df-426c-b1bb-3342ac94832b","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_9","AEREL","True","text","AEREL","18b9ed7c-2be7-4162-9743-ff3a2648b599","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_10","AERELNST","True","text","AERELNST","0b513d95-5905-42e9-9956-d80c51410412","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_11","AEPATT","True","text","AEPATT","189c34b0-dbdf-4f6b-a467-cd6128f1aa40","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_12","AEOUT","True","text","AEOUT","394ae6ae-d605-42a1-8b5a-cd52e88ac2aa","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_13","AESCAN","True","text","AESCAN","5a84ef18-3019-4704-a93c-770592c9a8f5","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_14","AESCONG","True","text","AESCONG","66add483-438c-44bb-9985-8a3791c7ccd1","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_15","AESDISAB","True","text","AESDISAB","bc1fada3-3e05-41a2-9ea7-171a8aba9513","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_16","AESDTH","True","text","AESDTH","83b83e0e-d965-4377-bdb6-65dd29afce56","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_17","AESHOSP","True","text","AESHOSP","af79e6d2-7218-4570-b52a-3406edfd5fa7","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_18","AESLIFE","True","text","AESLIFE","1c4906cc-8525-468f-bcad-490ce197849a","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_19","AESOD","True","text","AESOD","5a5eadb7-520a-49db-8f41-61e7828b1da4","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_20","AESMIE","True","text","AESMIE","a8fcade1-355c-4d95-8ff0-a8c59ed069f3","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_21","AECONTRT","True","text","AECONTRT","db74be98-1c6a-4f3b-82a7-e96a7bb52e85","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_22","AESTDTC","True","datetime","AESTDTC","d773cb87-b661-49bc-bf81-89700e399892","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_23","AEENDTC","True","datetime","AEENDTC","7f8700c1-e1a4-4f9b-8eaa-54020ab2f397","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_24","VSTESTCD","True","","VSTESTCD","92bd4142-a3fd-45a7-b8d8-541ff4146e42","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_25","VSORRES","True","integer","VSORRES","76dbdc9e-2fd7-4e97-b724-041faa1f5d7b","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_26","VSORRESU","True","","VSORRESU","2c8ccac2-6eff-44bf-b7f0-3bcac7691758","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_27","VSPOS","True","","VSPOS","603c4087-c73f-48e9-bee9-1f715dcc6eee","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_28","VSLOC","True","","VSLOC","a9036e1f-dc2c-4495-8ef4-77c96c0da19f","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_29","VSLAT","True","","VSLAT","4e11fca1-5d61-4393-9572-62707580ffed","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_30","VSTESTCD","True","","VSTESTCD","eb9dddc6-8f0a-4e59-8f93-54cd9212d923","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_31","VSORRES","True","integer","VSORRES","23f6be1e-adac-47dc-8d4a-df55293505c6","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_32","VSORRESU","True","","VSORRESU","8265cd9f-3a68-4396-b402-b688589760fa","True","BiomedicalConceptProperty"
"BiomedicalConceptProperty_33","VSPOS","True","","VSPOS","2e2cf865-e642-4f59-bfae-55e57bed4e4c","True","BiomedicalConceptProperty"
