"uuid:ID","id","name","label","description","instanceType"
"a4a4385f-4b01-4764-8cee-be8874dc8117","SyntaxTemplateDictionary_1","IE_Dict","IE Dictionary","Dictionary for IE","SyntaxTemplateDictionary"
"8c10c92c-cc28-47be-9197-e7639dd13c48","SyntaxTemplateDictionary_2","AS_Dict","Assessment Dictionary","Dictionary for Study Assessments","SyntaxTemplateDictionary"
