"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","097f1a35-fcc2-4956-8d18-fc68ec411831","StudyAmendmentReason_1",""
"StudyAmendmentReason","023fedf8-0a99-47d4-8711-eefc88b64e0b","StudyAmendmentReason_2","Fix typographical errors"
