"label","uuid:ID","instanceType","name","id","isRequired","datatype","isEnabled"
"DSDECOD","ef442eba-e84f-4794-a6c8-918915a86d4c","BiomedicalConceptProperty","DSDECOD","BiomedicalConceptProperty_116","True","text","True"
"DSTERM","f21a8742-4004-4b4e-8105-c589a109cd32","BiomedicalConceptProperty","DSTERM","BiomedicalConceptProperty_117","True","text","True"
"DSSTDTC","2c097388-4496-4f5b-8171-74d15c6327fd","BiomedicalConceptProperty","DSSTDTC","BiomedicalConceptProperty_118","True","datetime","True"
"Sex","16198bd8-ef2b-439e-b760-40674ed70910","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_119","True","string","True"
"Race","3206fdfe-403c-48cf-8ac6-30ddc6cf6916","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_120","True","string","True"
"VSTESTCD","f8b4d66b-77b0-4178-b6d5-d83702575c97","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_121","True","","True"
"VSORRES","4be0ae3f-1e41-4582-b2ef-d12d10dddb55","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_122","True","float","True"
"VSORRESU","05264346-5451-4ffa-93ea-0af7ee8489c9","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_123","True","","True"
"VSLOC","b27c081c-06f6-4c91-8f2d-4ee70171dbaa","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_124","True","","True"
"VSTESTCD","f55b5d83-dc45-4aa4-ba9c-53628bdf2753","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_125","True","","True"
"VSORRES","1654c72d-da41-4d24-b6b5-72590a64dbe7","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_126","True","float","True"
"VSORRESU","200206e0-2a63-40a7-8a14-09f4e531b8e6","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_127","True","","True"
"VSTESTCD","00af8200-f9ef-439b-b908-0b2195305dce","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_128","True","","True"
"VSORRES","700a0ccf-68ef-4286-ad54-f9565ed39656","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_129","True","float","True"
"VSORRESU","62ca88ad-143d-4eb1-850a-5d0e3523051f","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_130","True","","True"
"LBTESTCD","7bf373e4-9250-4686-b2d0-8f142a33a48f","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_131","True","","True"
"LBORRES","c52f4e9d-b12c-4482-9504-a76cdb947f0e","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_132","True","float","True"
"LBORRESU","1d7ba25f-b4bf-471e-99cc-abc8e0fbe19a","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_133","True","","True"
"LBSPEC","171c5331-1e7e-43ef-ab58-531edd8c562c","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_134","True","","True"
"LBFAST","09b72645-e99f-4532-a74e-78c58c5de349","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_135","True","","True"
"LBTESTCD","6739e316-ab5e-416d-adc2-0e4a671eb8f3","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_136","True","","True"
"LBORRES","d61ea738-d91a-469e-b642-54ee245664c4","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_137","True","text","True"
"LBSPEC","9f926292-5230-48d0-a5bb-53bfea7bab5c","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_138","True","","True"
"LBFAST","f196128b-382a-479c-849f-0188c68a766f","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_139","True","","True"
"LBTESTCD","7aa7e5d1-857c-48e5-8888-4d72b51116ef","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_140","True","","True"
"LBORRES","7fe5ec3c-0cfc-43aa-9b05-85a7359b78d5","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_141","True","float","True"
"LBORRESU","bb2d261d-111e-4c8e-8023-ab76f2bec1dc","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_142","True","","True"
"LBSPEC","6d378bdc-733f-46e7-80b8-1e0da74357d8","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_143","True","","True"
"LBFAST","2029b953-6981-4c36-96d0-6b96d52996b1","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_144","True","","True"
"LBTESTCD","ebcf839a-78d6-4b3c-896d-7a73ec6ed866","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_145","True","","True"
"LBORRES","73faf15b-a774-40f9-a13d-0157df3e069c","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_146","True","float","True"
"LBORRESU","f1fff893-039d-475b-b3f9-b32b0d3caa18","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_147","True","","True"
"LBSPEC","2760f6c9-b649-4b2c-85fe-dcf2bcb0356c","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_148","True","","True"
"LBFAST","794ad382-d160-4e65-98b5-9b379f249577","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_149","True","","True"
"LBTESTCD","cd5fc07a-cf82-46a2-a195-325bc7727b85","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_150","True","","True"
"LBORRES","5b5ed286-778d-4de9-8e60-e0a74871d49c","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_151","True","float","True"
"LBORRESU","8397618d-0c20-4479-aa17-f4f9391b8ace","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_152","True","","True"
"LBSPEC","e94850ba-6c58-4f61-ace7-4dd8f0e677d7","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_153","True","","True"
"LBFAST","78f3079d-a7d5-42da-8343-5134d4170279","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_154","True","","True"
"LBTESTCD","99f05b4b-709f-4736-a5aa-860968cb7737","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_155","True","","True"
"LBORRES","cc9d78f6-590b-439d-aa66-bce66b5ccd5c","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_156","True","float","True"
"LBORRESU","af3930ba-a069-4a58-a531-978b814a0b55","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_157","True","","True"
"LBSPEC","9e38a8b7-6691-476e-83ac-5b88de98e4a1","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_158","True","","True"
