"label","uuid:ID","instanceType","id","description","name"
"IE Dictionary","281e0007-db18-4318-a899-cb95eb0dbfeb","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","Dictionary for IE","IE_Dict"
"Assessment Dictionary","3fa605c3-aabb-4984-8530-9b23247fc6ae","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","AS_Dict"
