"label","uuid:ID","instanceType","dateValue","id","description","name"
"Design Approval","d87b01f1-f641-42e5-b065-9e3ed679b4e7","GovernanceDate","2006-06-01","GovernanceDate_1","Design approval date","D_APPROVE"
"Protocol Approval","71ad346a-3174-4326-9816-3d2c25cf6a85","GovernanceDate","2006-07-01","GovernanceDate_2","Protocol document approval date","P_APPROVE"
