"instanceType","id","studyIdentifier","uuid:ID"
"StudyIdentifier","StudyIdentifier_1","H2Q-MC-LZZT","801c7240-287e-4f3c-942b-5e3d7aa6cab1"
"StudyIdentifier","StudyIdentifier_2","NCT12345678","7f3d0f84-dd44-4588-9c3a-864a694bb053"
