"label","id","description","uuid:ID","instanceType","name"
"IE Dictionary","SyntaxTemplateDictionary_1","Dictionary for IE","47f2e4d7-59df-448f-8f72-9e189b62f542","SyntaxTemplateDictionary","IE_Dict"
"Assessment Dictionary","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","64c7ac55-fbd5-4124-9feb-533865a06938","SyntaxTemplateDictionary","AS_Dict"
