"label","id","datatype","uuid:ID","isRequired","instanceType","isEnabled","name"
"DSDECOD","BiomedicalConceptProperty_116","text","aad7a529-2f3e-4ab8-8b95-acbb04e5a430","True","BiomedicalConceptProperty","True","DSDECOD"
"DSTERM","BiomedicalConceptProperty_117","text","8b53583b-e8b8-4b51-bc4d-fc9ee80a78a7","True","BiomedicalConceptProperty","True","DSTERM"
"DSSTDTC","BiomedicalConceptProperty_118","datetime","4ea3ae2a-90b8-41db-8a59-c32d7dca7376","True","BiomedicalConceptProperty","True","DSSTDTC"
"Sex","BiomedicalConceptProperty_119","string","5bc9275e-b7d9-4e49-942b-2d8c05f7b7a2","True","BiomedicalConceptProperty","True","Sex"
"Race","BiomedicalConceptProperty_120","string","d7bb717f-9928-4d55-87c4-f76cc73d32a1","True","BiomedicalConceptProperty","True","Race"
"VSTESTCD","BiomedicalConceptProperty_121","","ae0a3770-7fcf-424a-9d09-fed0dac6db9a","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_122","float","56c632cf-e3e7-412f-9de7-31aed3cbec09","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_123","","88ae1788-671b-44a5-800f-2298300a6de3","True","BiomedicalConceptProperty","True","VSORRESU"
"VSLOC","BiomedicalConceptProperty_124","","ac52b748-7c9d-49da-a197-99018f90de8c","True","BiomedicalConceptProperty","True","VSLOC"
"VSTESTCD","BiomedicalConceptProperty_125","","23423714-bf9b-47fa-a393-86f8582e4eac","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_126","float","9cedcbf4-5c28-4239-832a-2147f36c385b","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_127","","a0bdcc18-2c00-4639-8938-21619a3e8908","True","BiomedicalConceptProperty","True","VSORRESU"
"VSTESTCD","BiomedicalConceptProperty_128","","c98544c7-5c20-4059-9600-2205a16e0ccc","True","BiomedicalConceptProperty","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_129","float","1795697c-096d-48d4-8457-74fe9e01dbe0","True","BiomedicalConceptProperty","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty_130","","49c0ac2f-2d5d-4669-8621-d6a7ea2b27c7","True","BiomedicalConceptProperty","True","VSORRESU"
"LBTESTCD","BiomedicalConceptProperty_131","","c078ee6a-47a9-48fe-9767-3e185d4d8436","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_132","float","b817a410-fba0-43bb-b8b0-1d261f61be04","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_133","","cd3aeea8-352a-484b-b729-9075c3e39476","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_134","","7c1c57d0-6709-41e0-9c33-1cee6eb19c16","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_135","","8315be55-77b6-4415-944c-db2ecef1bb98","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_136","","7475f3df-6fa1-4f01-bb1e-81f98669ac81","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_137","text","2fb3a7f2-634a-466a-890e-30f29f91d722","True","BiomedicalConceptProperty","True","LBORRES"
"LBSPEC","BiomedicalConceptProperty_138","","9a67b6ae-f712-441e-bd57-aae1e344881f","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_139","","154c4c35-9a2d-47c9-9503-e64101f3f7b1","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_140","","e754a23a-347e-4051-8a68-1250b97dc6e9","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_141","float","b426d5a9-57d1-4319-8850-8d0890718a08","True","BiomedicalConceptProperty","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty_142","","860d1288-3908-4717-aed3-acafcf95f1d3","True","BiomedicalConceptProperty","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_143","","81601b09-8819-421f-9061-44316375d28f","True","BiomedicalConceptProperty","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty_144","","e53a9ab4-9918-451c-bc6f-ab0660880b1d","True","BiomedicalConceptProperty","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_145","","807f130f-6ac7-4bd4-b483-43e517a1f9e7","True","BiomedicalConceptProperty","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_146","float","c02e3b0f-99bc-49bb-9fac-2d86d50cb3b9","True","BiomedicalConceptProperty","True","LBORRES"
