"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","48dd5faa-08e4-4e79-9190-efa6f69907d6","","StudyAmendmentReason_1"
"StudyAmendmentReason","0e99734e-0058-453c-9958-0a15635da601","Fix typographical errors","StudyAmendmentReason_2"
