"otherReason","id","instanceType","uuid:ID"
"","StudyAmendmentReason_1","StudyAmendmentReason","25af63c9-c395-4b1a-98c5-557701a1ebd1"
"Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason","ed8defc4-7ecd-4f11-a2f6-8906c74101d9"
