"description","label","id","instanceType","uuid:ID","dateValue","name"
"Design approval date","Design Approval","GovernanceDate_1","GovernanceDate","a8549edd-80a1-4c95-ad96-56187bab5490","2006-06-01","D_APPROVE"
"Protocol document approval date","Protocol Approval","GovernanceDate_2","GovernanceDate","9da245cf-ede4-4d01-ae5a-95d5325454a7","2006-07-01","P_APPROVE"
