"description","label","id","instanceType","uuid:ID","name"
"Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","201c24da-49ab-4d71-bc7a-f371494b154a","IE_Dict"
"Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","1a44452f-d855-43ff-a403-4f33583af061","AS_Dict"
