"id","instanceType","minValue","maxValue","isApproximate","uuid:ID"
"Range_2","Range","300.0","300.0","False","422a4309-74bb-4496-ad51-cff6f054f046"
"Range_1","Range","300.0","300.0","False","c88081a4-5a8f-4d12-a7a6-2c845a9867f2"
"Range_3","Range","50.0","100.0","False","46a4d72c-1b90-4046-a486-77049b8180ce"
