"label","id","isRequired","instanceType","isEnabled","datatype","uuid:ID","name"
"DSDECOD","BiomedicalConceptProperty_116","True","BiomedicalConceptProperty","True","text","920ebf25-2992-4c73-8627-0dcb03bc01e4","DSDECOD"
"DSTERM","BiomedicalConceptProperty_117","True","BiomedicalConceptProperty","True","text","22b51df6-5c4a-428b-a68a-abb2d7a05093","DSTERM"
"DSSTDTC","BiomedicalConceptProperty_118","True","BiomedicalConceptProperty","True","datetime","68869cdb-4c80-4191-8318-0bcbbfca275c","DSSTDTC"
"Sex","BiomedicalConceptProperty_119","True","BiomedicalConceptProperty","True","string","6f53c061-6511-4fa4-9a17-179cd2001c05","Sex"
"Race","BiomedicalConceptProperty_120","True","BiomedicalConceptProperty","True","string","6f88e9a5-3d4a-4058-b67f-f036ad3e531f","Race"
"VSTESTCD","BiomedicalConceptProperty_121","True","BiomedicalConceptProperty","True","","fde28b4d-4757-4c83-8f6e-2588042704d7","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_122","True","BiomedicalConceptProperty","True","float","c1fa459c-781c-43f6-897c-3ed5ccf67cad","VSORRES"
"VSORRESU","BiomedicalConceptProperty_123","True","BiomedicalConceptProperty","True","","12783b30-8396-4930-b5c6-fc8c90ca8f02","VSORRESU"
"VSLOC","BiomedicalConceptProperty_124","True","BiomedicalConceptProperty","True","","06e1fabd-3e0f-4750-b1c1-37b72132b2a8","VSLOC"
"VSTESTCD","BiomedicalConceptProperty_125","True","BiomedicalConceptProperty","True","","29b41ba8-6f92-4c11-af0e-c9bffa285dfa","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_126","True","BiomedicalConceptProperty","True","float","0665c37f-f001-42df-8b7c-39f03adf7340","VSORRES"
"VSORRESU","BiomedicalConceptProperty_127","True","BiomedicalConceptProperty","True","","5dae16bd-77b7-4b00-8b6a-c90e67ba39f3","VSORRESU"
"VSTESTCD","BiomedicalConceptProperty_128","True","BiomedicalConceptProperty","True","","8eab306c-0fda-4eb2-87d2-ce5e079a0fe2","VSTESTCD"
"VSORRES","BiomedicalConceptProperty_129","True","BiomedicalConceptProperty","True","float","62f885f6-c464-454b-895a-0ad453d966bc","VSORRES"
"VSORRESU","BiomedicalConceptProperty_130","True","BiomedicalConceptProperty","True","","aa477910-ca88-4a0d-9a64-8c90fa0692b1","VSORRESU"
"LBTESTCD","BiomedicalConceptProperty_131","True","BiomedicalConceptProperty","True","","d8eac6b3-ba6d-476f-9121-03aaa0d53042","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_132","True","BiomedicalConceptProperty","True","float","6d7062c5-e0a2-4c94-8ed4-90b5e2457dad","LBORRES"
"LBORRESU","BiomedicalConceptProperty_133","True","BiomedicalConceptProperty","True","","62ab05e7-4797-49f0-b02b-9ec58d5ad2a6","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_134","True","BiomedicalConceptProperty","True","","b56cc7ae-06a2-4a0c-9756-bdac9c8e3bea","LBSPEC"
"LBFAST","BiomedicalConceptProperty_135","True","BiomedicalConceptProperty","True","","59eb0221-8b8d-4cea-8f2b-9345bc21c996","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_136","True","BiomedicalConceptProperty","True","","a64b982e-25ef-4465-9c45-eed5e8f84be8","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_137","True","BiomedicalConceptProperty","True","text","29347675-fbd8-4863-a5b5-007cb782399c","LBORRES"
"LBSPEC","BiomedicalConceptProperty_138","True","BiomedicalConceptProperty","True","","330e7fc1-37bd-4b00-b88e-470217aba099","LBSPEC"
"LBFAST","BiomedicalConceptProperty_139","True","BiomedicalConceptProperty","True","","70467ad9-a23a-4f54-9794-c001db036ff7","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_140","True","BiomedicalConceptProperty","True","","cbb1d13b-d297-4156-85af-516d1a709f44","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_141","True","BiomedicalConceptProperty","True","float","cbc5a01a-3be5-4535-befb-075e9381d1de","LBORRES"
"LBORRESU","BiomedicalConceptProperty_142","True","BiomedicalConceptProperty","True","","c5e71d52-a96e-4630-be67-677c9d7fc2bd","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_143","True","BiomedicalConceptProperty","True","","66332258-e622-418b-8473-0241d4297899","LBSPEC"
"LBFAST","BiomedicalConceptProperty_144","True","BiomedicalConceptProperty","True","","d0f97a15-3ace-4606-afc9-ae01c51ac1a3","LBFAST"
"LBTESTCD","BiomedicalConceptProperty_145","True","BiomedicalConceptProperty","True","","e4012077-4916-43da-a8dc-e254009e8b8b","LBTESTCD"
"LBORRES","BiomedicalConceptProperty_146","True","BiomedicalConceptProperty","True","float","77f6048a-f0d4-4591-bab5-fac42cbe50de","LBORRES"
"LBORRESU","BiomedicalConceptProperty_147","True","BiomedicalConceptProperty","True","","e53ec81f-7675-4337-8d52-e27c116ea566","LBORRESU"
"LBSPEC","BiomedicalConceptProperty_148","True","BiomedicalConceptProperty","True","","af843816-fb6e-475a-8ed5-f6e1b33230e0","LBSPEC"
"LBFAST","BiomedicalConceptProperty_149","True","BiomedicalConceptProperty","True","","f44b80cd-6544-4a70-a6bd-ac53ff8f6911","LBFAST"
