"label","instanceType","isRequired","uuid:ID","name","isEnabled","id","datatype"
"Sex","BiomedicalConceptProperty","True","418e1ab4-e00a-452f-ba1e-de1f1274626b","Sex","True","BiomedicalConceptProperty_116","string"
"Race","BiomedicalConceptProperty","True","759fdbe0-1b64-4ce9-ba74-c6db79280cb0","Race","True","BiomedicalConceptProperty_117","string"
"VSTESTCD","BiomedicalConceptProperty","True","91614e57-465c-4832-b9af-7761a79a392b","VSTESTCD","True","BiomedicalConceptProperty_118",""
"VSORRES","BiomedicalConceptProperty","True","372803d6-0f3f-4d76-9170-392adc492062","VSORRES","True","BiomedicalConceptProperty_119","float"
"VSORRESU","BiomedicalConceptProperty","True","7ae6c3f0-51cd-40e3-8c80-12f7310547f4","VSORRESU","True","BiomedicalConceptProperty_120",""
"VSLOC","BiomedicalConceptProperty","True","33b70cbb-fca9-4cdc-bba2-1f84c1cd8787","VSLOC","True","BiomedicalConceptProperty_121",""
"VSTESTCD","BiomedicalConceptProperty","True","e12058d3-bcf6-414f-8b41-43b9980171af","VSTESTCD","True","BiomedicalConceptProperty_122",""
"VSORRES","BiomedicalConceptProperty","True","bb3a8b2a-ab9d-47a5-a4df-8290e981366f","VSORRES","True","BiomedicalConceptProperty_123","float"
"VSORRESU","BiomedicalConceptProperty","True","d09dbfc7-237a-4b05-a22b-bbd5fdb0f601","VSORRESU","True","BiomedicalConceptProperty_124",""
"VSTESTCD","BiomedicalConceptProperty","True","fbdc4b17-54e8-4615-b8a3-ad4fa31c34af","VSTESTCD","True","BiomedicalConceptProperty_125",""
"VSORRES","BiomedicalConceptProperty","True","ac72e1bb-9d09-4c76-be1e-246a580f7be0","VSORRES","True","BiomedicalConceptProperty_126","float"
"VSORRESU","BiomedicalConceptProperty","True","db404c66-6969-4cd8-a520-33c949578d36","VSORRESU","True","BiomedicalConceptProperty_127",""
"LBTESTCD","BiomedicalConceptProperty","True","77ee15b3-f775-491e-8dbc-9167bacbcb83","LBTESTCD","True","BiomedicalConceptProperty_128",""
"LBORRES","BiomedicalConceptProperty","True","74c4b2e6-4d06-4133-9b9f-2ed5358ae548","LBORRES","True","BiomedicalConceptProperty_129","float"
"LBORRESU","BiomedicalConceptProperty","True","49374654-2d00-404b-962d-971351fa1606","LBORRESU","True","BiomedicalConceptProperty_130",""
"LBSPEC","BiomedicalConceptProperty","True","426f3ffa-6ee0-4e4a-b87a-75a61fe5bbcd","LBSPEC","True","BiomedicalConceptProperty_131",""
"LBFAST","BiomedicalConceptProperty","True","436868af-a88f-415a-a686-372f2a2082bf","LBFAST","True","BiomedicalConceptProperty_132",""
"LBTESTCD","BiomedicalConceptProperty","True","58fa50d2-ab19-4c79-94e4-f70241e29405","LBTESTCD","True","BiomedicalConceptProperty_133",""
"LBORRES","BiomedicalConceptProperty","True","8ae0699f-fd89-4688-b3ee-b6990e6c38c2","LBORRES","True","BiomedicalConceptProperty_134","text"
"LBSPEC","BiomedicalConceptProperty","True","de505c36-9039-4b4e-bdd8-b67496ee63bc","LBSPEC","True","BiomedicalConceptProperty_135",""
"LBFAST","BiomedicalConceptProperty","True","b951ff2c-bc5e-436d-8953-52ee381ff258","LBFAST","True","BiomedicalConceptProperty_136",""
"LBTESTCD","BiomedicalConceptProperty","True","16d41868-ac29-41e5-a008-5c01f96cf1f0","LBTESTCD","True","BiomedicalConceptProperty_137",""
"LBORRES","BiomedicalConceptProperty","True","fbee760b-71e1-49b2-9db0-1fedaefc3520","LBORRES","True","BiomedicalConceptProperty_138","float"
"LBORRESU","BiomedicalConceptProperty","True","29d68469-6d06-4fd4-891f-0d88a71bfbed","LBORRESU","True","BiomedicalConceptProperty_139",""
"LBSPEC","BiomedicalConceptProperty","True","9ec4f594-422e-42f6-8f44-24754b220148","LBSPEC","True","BiomedicalConceptProperty_140",""
"LBFAST","BiomedicalConceptProperty","True","7a65dcae-822e-4b41-93c3-4877020657a4","LBFAST","True","BiomedicalConceptProperty_141",""
"LBTESTCD","BiomedicalConceptProperty","True","77d1684f-e78b-4680-acd9-4a57f59837f4","LBTESTCD","True","BiomedicalConceptProperty_142",""
