"label","instanceType","uuid:ID","name","id","description","dateValue"
"Design Approval","GovernanceDate","fa40b558-3380-41ff-9fdf-ad9002799623","D_APPROVE","GovernanceDate_1","Design approval date","2006-06-01"
"Protocol Approval","GovernanceDate","cb1101c6-5ab1-40af-8254-ecb1b590d756","P_APPROVE","GovernanceDate_2","Protocol document approval date","2006-07-01"
