"label","instanceType","uuid:ID","name","id","description"
"IE Dictionary","SyntaxTemplateDictionary","5a09a327-f3cc-40b9-8137-fc587bafb994","IE_Dict","SyntaxTemplateDictionary_1","Dictionary for IE"
"Assessment Dictionary","SyntaxTemplateDictionary","4d20846e-2a7f-45a0-9f26-72d9f39f5628","AS_Dict","SyntaxTemplateDictionary_2","Dictionary for Study Assessments"
