"isRequired","isEnabled","label","instanceType","name","datatype","id","uuid:ID"
"True","True","DSDECOD","BiomedicalConceptProperty","DSDECOD","text","BiomedicalConceptProperty_116","fb0647c8-9647-456c-9357-96e516fdaa85"
"True","True","DSTERM","BiomedicalConceptProperty","DSTERM","text","BiomedicalConceptProperty_117","b487ec4b-7fa3-4c1b-8baf-255acc2992d8"
"True","True","DSSTDTC","BiomedicalConceptProperty","DSSTDTC","datetime","BiomedicalConceptProperty_118","cb81b63f-6dd4-45b0-99d0-a9b9f085479b"
"True","True","Sex","BiomedicalConceptProperty","Sex","string","BiomedicalConceptProperty_119","ea4cddf4-9b8a-41d7-bdf0-f4def4b370ab"
"True","True","Race","BiomedicalConceptProperty","Race","string","BiomedicalConceptProperty_120","6dc3d804-4577-4f03-b5e4-c7b50d67bb00"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_121","907ae697-50a5-4772-9dde-cb074683f352"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","float","BiomedicalConceptProperty_122","40979b72-f64d-4f63-bc02-c510e395f029"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_123","81d0af2d-3c18-4cdd-b50e-4bcafc67376c"
"True","True","VSLOC","BiomedicalConceptProperty","VSLOC","","BiomedicalConceptProperty_124","555158f4-aed7-420a-99ef-aa274a9a1830"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_125","d26bf2d2-39a2-4ce3-993e-4f0ca95cf814"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","float","BiomedicalConceptProperty_126","3c3a237c-56fc-4f32-9795-64629de03df7"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_127","cdde1a59-a5ac-464f-8b86-c8e58b0e2ba3"
"True","True","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","","BiomedicalConceptProperty_128","33a0abc4-e82d-43d7-9c85-619391b91b73"
"True","True","VSORRES","BiomedicalConceptProperty","VSORRES","float","BiomedicalConceptProperty_129","4a173848-d8f9-44d2-967c-9f130c0218e7"
"True","True","VSORRESU","BiomedicalConceptProperty","VSORRESU","","BiomedicalConceptProperty_130","5610ef9a-c2a9-4464-8863-2b82197dea22"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_131","05c304a7-e188-4fbd-99eb-8076300321e7"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","float","BiomedicalConceptProperty_132","efd0564d-def3-4e0b-8a5a-27388e43075c"
"True","True","LBORRESU","BiomedicalConceptProperty","LBORRESU","","BiomedicalConceptProperty_133","04eb2e5b-58fa-4749-a362-cd9c3be3fc6a"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_134","5f0b99c2-0685-4779-a858-b168d628a51b"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_135","45b00554-34db-4212-991b-996fe6a3ebac"
"True","True","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","","BiomedicalConceptProperty_136","04afd064-576f-45f8-b498-115f355685fe"
"True","True","LBORRES","BiomedicalConceptProperty","LBORRES","text","BiomedicalConceptProperty_137","dff15927-43cb-4d2b-b6f3-29e1be771303"
"True","True","LBSPEC","BiomedicalConceptProperty","LBSPEC","","BiomedicalConceptProperty_138","54c292ef-420b-488c-b057-88001dd07d75"
"True","True","LBFAST","BiomedicalConceptProperty","LBFAST","","BiomedicalConceptProperty_139","f0d8efb2-9c1e-49c0-991b-8c1e0559609d"
