"minValue","isApproximate","instanceType","uuid:ID","id","maxValue"
"300.0","False","Range","cc8d9740-eaba-4094-bd85-c9d66e81d4d5","Range_2","300.0"
"300.0","False","Range","9194956a-97e7-4472-a2d6-0982d2bafcb6","Range_1","300.0"
"50.0","False","Range","de90cb49-078c-4a6f-9fb7-5c17f01e647d","Range_3","100.0"
