"instanceType","otherReason","uuid:ID","id"
"StudyAmendmentReason","","249184ad-a702-47df-8d05-0658d199ffd7","StudyAmendmentReason_1"
"StudyAmendmentReason","Fix typographical errors","2515e34f-8601-40d1-99b9-bc3e86ec6961","StudyAmendmentReason_2"
