"description","label","instanceType","name","uuid:ID","id"
"Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary","IE_Dict","e1f9e94b-e42b-4b0a-bed7-edd1ba260955","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary","AS_Dict","3635f178-1f63-40e2-b1a0-9d9239ca5374","SyntaxTemplateDictionary_2"
