"description","label","instanceType","name","uuid:ID","id"
"Screening Epoch","Screening","StudyEpoch","Screening","f0a4d3dd-04cb-42ba-b3d8-a8b83fd29150","StudyEpoch_1"
"Treatment Epoch","Treatment One","StudyEpoch","Treatment 1","79dee9ce-4f26-4e6c-a022-d4ce8002720b","StudyEpoch_2"
"Treatment Epoch","Treatment Two","StudyEpoch","Treatment 2","d1559bfc-eecf-4c30-9dc7-bb08ff456a10","StudyEpoch_3"
"Treatment Epoch","Treatment Three","StudyEpoch","Treatment 3","015deb26-668a-4abf-b2f3-a568a164ac55","StudyEpoch_4"
"Follow-up Epoch","Follow Up","StudyEpoch","Follow-Up","b874e909-454a-4135-bfcb-6d0e75c16a0c","StudyEpoch_5"
