"name","uuid:ID","datatype","id","label","isRequired","isEnabled","instanceType"
"Sex","2fd94431-7157-425e-9430-b98e5bdc286c","string","BiomedicalConceptProperty_116","Sex","True","True","BiomedicalConceptProperty"
"Race","3254b6bf-2323-4ad2-9b8b-f7d0eade543b","string","BiomedicalConceptProperty_117","Race","True","True","BiomedicalConceptProperty"
"VSTESTCD","32d0f7b2-9663-4902-bd3a-7c2ca4369292","","BiomedicalConceptProperty_118","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","91bca8a1-69a7-4844-a4ed-52495cbbf733","float","BiomedicalConceptProperty_119","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","1eeb7790-fffc-4a9c-b45c-15299b827f3d","","BiomedicalConceptProperty_120","VSORRESU","True","True","BiomedicalConceptProperty"
"VSLOC","b94eecaa-76c1-4948-b344-f6764652a208","","BiomedicalConceptProperty_121","VSLOC","True","True","BiomedicalConceptProperty"
"VSTESTCD","bb3d1be3-4706-4220-ae74-c6299c324fca","","BiomedicalConceptProperty_122","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","d7e1b3aa-af2f-414b-8473-895b590d9be3","float","BiomedicalConceptProperty_123","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","ed9a0231-bdf8-4e27-b0c3-88b363cf5e72","","BiomedicalConceptProperty_124","VSORRESU","True","True","BiomedicalConceptProperty"
"VSTESTCD","c34353c1-0d30-4b6c-87ec-adbbeb6ba486","","BiomedicalConceptProperty_125","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","76b59a56-4b9b-4b98-803e-fbd73628f7b9","float","BiomedicalConceptProperty_126","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","5da6486d-30b8-4429-8368-2655dfe31dc8","","BiomedicalConceptProperty_127","VSORRESU","True","True","BiomedicalConceptProperty"
"LBTESTCD","f596ecdb-0581-4d1f-adae-6e5f2f47dadd","","BiomedicalConceptProperty_128","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","7a4d7d2c-1de2-4754-bb25-d1399b78dc2f","float","BiomedicalConceptProperty_129","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","682a2bda-bc6d-401e-b9a4-3bacea799bd5","","BiomedicalConceptProperty_130","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","0ed50cf2-c759-42a3-84d2-e4e484d13865","","BiomedicalConceptProperty_131","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","133bd3a3-33e2-47f4-95c9-47baf9949def","","BiomedicalConceptProperty_132","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","4717240e-7b45-418a-93c9-c78ceb751dfb","","BiomedicalConceptProperty_133","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","28af3cfd-f11d-4860-b67c-e8939d993972","text","BiomedicalConceptProperty_134","LBORRES","True","True","BiomedicalConceptProperty"
"LBSPEC","08676061-cd1a-47aa-a52d-42af14daa128","","BiomedicalConceptProperty_135","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","45b44b7b-b280-4060-9361-f4bb96815ad7","","BiomedicalConceptProperty_136","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","dbfb6175-6b88-4664-9149-c2d5d98ae697","","BiomedicalConceptProperty_137","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","ccf4c841-bc88-4b2f-aefe-63ec60f72113","float","BiomedicalConceptProperty_138","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","0fad4eb9-45dd-4e52-b63f-7e93fabb93b1","","BiomedicalConceptProperty_139","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","843b5a4e-d876-43cd-aad9-488ee21bc865","","BiomedicalConceptProperty_140","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","d4bd00a8-3145-42e2-afdc-92e7c16eddf1","","BiomedicalConceptProperty_141","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","df09d9a4-bd9e-4494-a8dc-ddd52c43ec39","","BiomedicalConceptProperty_142","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","1e92991b-98e6-49ef-9ce5-0bf3bdad65b3","float","BiomedicalConceptProperty_143","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","0353bb8e-24f2-45d7-b208-435ffff38be3","","BiomedicalConceptProperty_144","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","c28fb06a-aec6-4fd7-8771-181957714df0","","BiomedicalConceptProperty_145","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","fd3c2a3d-7a00-40f2-aa6d-9d67ecb0ac24","","BiomedicalConceptProperty_146","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","22687178-063c-47ae-9317-0b52cbb23822","","BiomedicalConceptProperty_147","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","5daef244-dbd4-4113-b96d-8dbfee0a27e8","float","BiomedicalConceptProperty_148","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","6120bda4-87ec-40cb-93bb-23161f67a0f6","","BiomedicalConceptProperty_149","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","1e0975f9-d14b-4a6c-87b3-d9329cb55d60","","BiomedicalConceptProperty_150","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","648c79d4-b801-409f-ac83-26b86ac11e05","","BiomedicalConceptProperty_151","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","9be8f2be-88cc-4ea0-8b6c-50c4dced1d79","","BiomedicalConceptProperty_152","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","9514189f-b44a-4cc1-8e87-a9c8c033ea59","float","BiomedicalConceptProperty_153","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","62870a95-48bf-47fd-90f4-fe75bf541f2b","","BiomedicalConceptProperty_154","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","f911f3a3-9678-49d4-a2cc-f5c58b7666cb","","BiomedicalConceptProperty_155","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","bf87d487-e395-4916-8007-15e12610ea6a","","BiomedicalConceptProperty_156","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","95b1cca2-34a7-4e04-bdcb-d7e46e71bfec","","BiomedicalConceptProperty_157","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","11a4763b-85d0-4c55-b95e-c19964f6f108","float","BiomedicalConceptProperty_158","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","26f9463d-c10f-4010-97f7-557a3a8072f5","","BiomedicalConceptProperty_159","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","2477b853-9363-4371-a92a-c41eb44467d1","","BiomedicalConceptProperty_160","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","bff8860a-8f1d-4a4c-a718-3a25a7238be7","","BiomedicalConceptProperty_161","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","f2f636e0-584e-434b-b6a8-c623a2ff2584","","BiomedicalConceptProperty_162","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","45c317c8-6cd7-4a16-b620-48a28d547063","float","BiomedicalConceptProperty_163","LBORRES","True","True","BiomedicalConceptProperty"
