"otherReason","uuid:ID","id","instanceType"
"","deff8681-8914-4017-85de-a5253a399313","StudyAmendmentReason_1","StudyAmendmentReason"
"Fix typographical errors","29659538-816b-41d6-ad69-4f2eda9a194c","StudyAmendmentReason_2","StudyAmendmentReason"
