"id","uuid:ID"
"StudyCell_1","57c0d641-2de4-431d-87b3-83993b089c1b"
"StudyCell_2","98e296ad-9324-472f-8a96-fbae93a542b3"
"StudyCell_3","af165dfd-181a-467a-91c4-e51dc1161f12"
"StudyCell_4","385b841e-2717-4769-a167-5456b9bc80ce"
"StudyCell_5","d870d6a8-6315-442b-bfca-00e4c9bab2cd"
"StudyCell_6","c86c881c-bade-4fb5-a31b-a22e8642b482"
"StudyCell_7","2f540959-aee2-4a52-8aab-f294546f1d25"
"StudyCell_8","750d6234-8ee6-4b20-9f16-d0315ed38a5d"
"StudyCell_9","80b8ddd8-b314-47c9-8303-2431ede8a63e"
"StudyCell_10","542a0dcc-cf67-4b9e-978b-2f365b6679ca"
"StudyCell_11","cd75afdd-21d6-4b04-ab6c-077948aa0c70"
"StudyCell_12","1920463a-6a9a-429a-a95d-5ffcecf23c49"
"StudyCell_13","0ed37fc9-e060-4fc0-b386-37d4a809d44c"
"StudyCell_14","1b517693-a409-4219-9501-9a56725df53e"
"StudyCell_15","02de7bbd-abee-4dd4-aa9c-1e4518d84aed"
