"instanceType","name","id","description","uuid:ID","label"
"SyntaxTemplateDictionary","IE_Dict","SyntaxTemplateDictionary_1","Dictionary for IE","3edaf48c-c117-49c3-b55a-723960079c26","IE Dictionary"
"SyntaxTemplateDictionary","AS_Dict","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","a6353559-0752-4b73-9b99-fab8b2b5ff0a","Assessment Dictionary"
