"instanceType","name","isEnabled","id","isRequired","datatype","uuid:ID","label"
"BiomedicalConceptProperty","DSDECOD","True","BiomedicalConceptProperty_116","True","text","d5994664-e81d-4bbd-bdb0-41092c422b4f","DSDECOD"
"BiomedicalConceptProperty","DSTERM","True","BiomedicalConceptProperty_117","True","text","9d87f8a8-6c2f-4807-a2f5-8b10d115a5c7","DSTERM"
"BiomedicalConceptProperty","DSSTDTC","True","BiomedicalConceptProperty_118","True","datetime","a177a63c-4446-44f7-b4cf-b5ab95823164","DSSTDTC"
"BiomedicalConceptProperty","Sex","True","BiomedicalConceptProperty_119","True","string","7b35cc6c-bc8c-41a9-8d25-8337eb4bc840","Sex"
"BiomedicalConceptProperty","Race","True","BiomedicalConceptProperty_120","True","string","715c8329-9e4a-4d9d-af0b-ba6a80ab2480","Race"
"BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_121","True","","8d47acb7-cca4-424a-864d-0ecc41d21753","VSTESTCD"
"BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_122","True","float","143855ef-be20-4bf1-a801-bb2f2fbd02f9","VSORRES"
"BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_123","True","","d373fac7-5b0a-4a47-bb53-1849cadbaa3f","VSORRESU"
"BiomedicalConceptProperty","VSLOC","True","BiomedicalConceptProperty_124","True","","60578f87-9136-431b-ad01-f8b848ef07c0","VSLOC"
"BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_125","True","","f7230870-588f-4890-871e-a872126cc238","VSTESTCD"
"BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_126","True","float","3fcc4929-1572-4f9b-9720-d52fcde898ea","VSORRES"
"BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_127","True","","29517560-c982-4e99-aba5-a5d0a4df3d1a","VSORRESU"
"BiomedicalConceptProperty","VSTESTCD","True","BiomedicalConceptProperty_128","True","","7f4d2e01-f75e-43ec-a8dc-f95fcaf7e51e","VSTESTCD"
"BiomedicalConceptProperty","VSORRES","True","BiomedicalConceptProperty_129","True","float","4edb7b18-caf3-4f3d-990a-11c29495bc43","VSORRES"
"BiomedicalConceptProperty","VSORRESU","True","BiomedicalConceptProperty_130","True","","3d419c6a-1aed-4df8-89dc-baf9c8d1e08b","VSORRESU"
"BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_131","True","","5bc619f0-b72b-418a-aafb-b3a5b8c7317d","LBTESTCD"
"BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_132","True","float","251ac0d8-e115-4a41-8e31-3ca0303381f1","LBORRES"
"BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_133","True","","04c6bb3b-633b-4671-868c-2f416e786a15","LBORRESU"
"BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_134","True","","1cd2fad7-b1cd-446a-a15d-729871ee4338","LBSPEC"
"BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_135","True","","24b6e60b-d56f-41a1-8f46-e04ba053ab9b","LBFAST"
"BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_136","True","","82c0bcd1-015c-45a0-8e1d-4649b79c684b","LBTESTCD"
"BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_137","True","text","2b9adbde-e568-4515-a7db-a20aabddcd68","LBORRES"
"BiomedicalConceptProperty","LBSPEC","True","BiomedicalConceptProperty_138","True","","a1fc2884-5054-4a9e-b0a1-8d7533b804e9","LBSPEC"
"BiomedicalConceptProperty","LBFAST","True","BiomedicalConceptProperty_139","True","","92928d83-c30e-422f-a104-a3a41c86356a","LBFAST"
"BiomedicalConceptProperty","LBTESTCD","True","BiomedicalConceptProperty_140","True","","99d343b1-064f-4c1f-9f8f-3eab400980bb","LBTESTCD"
"BiomedicalConceptProperty","LBORRES","True","BiomedicalConceptProperty_141","True","float","72186ff6-dd19-45da-9a52-17d7a2fb8230","LBORRES"
"BiomedicalConceptProperty","LBORRESU","True","BiomedicalConceptProperty_142","True","","d25fbaf3-8711-4f8f-8e66-fe6604ac7d65","LBORRESU"
