"instanceType","name","id","dateValue","description","uuid:ID","label"
"GovernanceDate","D_APPROVE","GovernanceDate_1","2006-06-01","Design approval date","a78c920d-7daf-4009-8a4a-4da450f71750","Design Approval"
"GovernanceDate","P_APPROVE","GovernanceDate_2","2006-07-01","Protocol document approval date","a132c846-c31d-426f-8f96-cb413d926d06","Protocol Approval"
