"isApproximate","minValue","instanceType","id","uuid:ID","maxValue"
"False","300.0","Range","Range_2","29f4b996-e9c5-4f91-9f08-b7014e98f392","300.0"
"False","300.0","Range","Range_1","49d83b99-8ab4-4946-aa36-fd9aa4543d2d","300.0"
"False","50.0","Range","Range_3","bd6344fb-39b9-4407-8f91-add72deef8b3","100.0"
