"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","55699a91-f66c-49b0-8407-1f25beee9ed4"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","dac7985d-77e1-452f-b4c7-936585b97741"
