"maxValue","isApproximate","id","uuid:ID","instanceType","minValue"
"300.0","False","Range_2","c1291cb3-4d9e-4992-b2d8-b08f06506ffa","Range","300.0"
"300.0","False","Range_1","026384f1-097b-402d-86ff-eb03a165ae72","Range","300.0"
"100.0","False","Range_3","b2b5189a-c2b9-4f07-8400-44f41cf3ec5c","Range","50.0"
