"uuid:ID","id","otherReason","instanceType"
"33f9375e-f463-4d92-8655-4d0fc66f22bd","StudyAmendmentReason_1","","StudyAmendmentReason"
"73dfb4bc-0157-49af-8d21-6d7bdc3ea18b","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
