"description","label","instanceType","name","dateValue","id","uuid:ID"
"Design approval date","Design Approval","GovernanceDate","D_APPROVE","2006-06-01","GovernanceDate_1","5993b595-faab-4463-a6ee-a92c0d8babcf"
"Protocol document approval date","Protocol Approval","GovernanceDate","P_APPROVE","2006-07-01","GovernanceDate_2","afa09c7c-9d7d-4686-b1cb-c840769f924d"
