"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","b0483816-d45e-4681-aba5-137098618ebd"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","efea53a8-d8cf-4883-b554-62167deb53c0"
