"instanceType","uuid:ID","otherReason","id"
"StudyAmendmentReason","6f554edc-879c-4e63-87be-2c0059c9f53c","","StudyAmendmentReason_1"
"StudyAmendmentReason","64717b16-47cd-489b-8064-d1fd58629e4d","Fix typographical errors","StudyAmendmentReason_2"
