"name","instanceType","datatype","isRequired","uuid:ID","id","isEnabled","label"
"Sex","BiomedicalConceptProperty","string","True","b12f299f-8950-4a61-bf46-edf1494bcac1","BiomedicalConceptProperty_116","True","Sex"
"Race","BiomedicalConceptProperty","string","True","c11a2349-487b-44ed-b919-e53e5f90b7b0","BiomedicalConceptProperty_117","True","Race"
"VSTESTCD","BiomedicalConceptProperty","","True","ccda163a-4954-4c55-9ede-89bed5a7f9bc","BiomedicalConceptProperty_118","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","float","True","c0b5f2d7-d2b5-4b74-bb76-079be72d73f7","BiomedicalConceptProperty_119","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","83c87dbd-03f3-4aa8-a715-2ab274224007","BiomedicalConceptProperty_120","True","VSORRESU"
"VSLOC","BiomedicalConceptProperty","","True","48924246-45dc-4666-990d-1abb865dd4a9","BiomedicalConceptProperty_121","True","VSLOC"
"VSTESTCD","BiomedicalConceptProperty","","True","c94ba394-53e6-4d84-8df8-5f6f0949ba0a","BiomedicalConceptProperty_122","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","float","True","71af2c23-85d8-4378-bb50-ca5342f1e853","BiomedicalConceptProperty_123","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","28dda9e5-b409-4cdc-99fa-19c77c357d87","BiomedicalConceptProperty_124","True","VSORRESU"
"VSTESTCD","BiomedicalConceptProperty","","True","216977b7-33aa-49fd-8440-54678f908f88","BiomedicalConceptProperty_125","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","float","True","d00f8a97-46b4-4fbd-b3f8-d5e11092cd95","BiomedicalConceptProperty_126","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","a7415f44-43b1-4e04-9d8f-9b8c9ba39b29","BiomedicalConceptProperty_127","True","VSORRESU"
"LBTESTCD","BiomedicalConceptProperty","","True","3996c3d1-6698-4f30-a563-ac610b4f8636","BiomedicalConceptProperty_128","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","7c15e198-a7ed-4155-a121-bb8f89588354","BiomedicalConceptProperty_129","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","74e6a45e-acc2-44e8-852f-e29dac8198aa","BiomedicalConceptProperty_130","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","cce87954-28f0-4ab8-8256-752d9916af15","BiomedicalConceptProperty_131","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","e626b80a-c6bc-4782-b463-27ab528b44ef","BiomedicalConceptProperty_132","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","febc8bba-ba5c-49c2-8935-6b9c371ddc23","BiomedicalConceptProperty_133","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","text","True","a472fc84-f235-4155-9368-0b272984ed3b","BiomedicalConceptProperty_134","True","LBORRES"
"LBSPEC","BiomedicalConceptProperty","","True","0565bd1c-e0f3-452f-b800-b8a81d12854a","BiomedicalConceptProperty_135","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","1c29c3d7-ba6d-469e-bfec-0c6567332120","BiomedicalConceptProperty_136","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","dfbb141a-0068-48c3-8762-81c7cc41695a","BiomedicalConceptProperty_137","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","e00adb4b-3878-42b3-8967-bf32aad387dd","BiomedicalConceptProperty_138","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","5ba8d969-aacd-4bd1-8f2b-4929515ed0b7","BiomedicalConceptProperty_139","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","39a62b97-7bad-44f2-809d-b7549ad8cb09","BiomedicalConceptProperty_140","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","dfa82a67-cff8-490d-a479-914e66c19385","BiomedicalConceptProperty_141","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","593f608d-1344-402f-ace9-682cee25a7a3","BiomedicalConceptProperty_142","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","4462091a-4988-4224-893a-36f75d52e7f5","BiomedicalConceptProperty_143","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","7c77bcc9-87dc-4ea1-8399-27a693d34ca9","BiomedicalConceptProperty_144","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","f792e444-3bab-49da-9395-fd7cce4378ae","BiomedicalConceptProperty_145","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","2b6b4a4e-197e-435c-9d36-f02906883aa0","BiomedicalConceptProperty_146","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","0dbb3d44-2576-4b76-906b-415a84eb95e6","BiomedicalConceptProperty_147","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","70da3cc7-a09d-4f33-8e1a-f7f949cfd074","BiomedicalConceptProperty_148","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","c12cfbb7-ced1-49b1-9f12-fd9129d014e3","BiomedicalConceptProperty_149","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","5d0fa859-9a41-4951-aa95-434a34e53d30","BiomedicalConceptProperty_150","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","9307db48-1b68-46ed-87cc-e921d49d60c3","BiomedicalConceptProperty_151","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","04fd4bd9-52e6-446f-b960-0b6cffa5c50e","BiomedicalConceptProperty_152","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","f3bd0bd5-f3d8-481c-a957-bd88fbdcad93","BiomedicalConceptProperty_153","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","65785c3e-9dac-4e99-a212-4f5251b66ce0","BiomedicalConceptProperty_154","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","4a9d799a-f931-4f59-96eb-6364f7cb3fe1","BiomedicalConceptProperty_155","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","59798b80-c52d-4f69-9013-a6cfe683402a","BiomedicalConceptProperty_156","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","9ab1b05f-c00d-43dc-9b7d-69a204049779","BiomedicalConceptProperty_157","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","2772a216-ca4d-4a3f-acda-a47794e3de00","BiomedicalConceptProperty_158","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","bc705ac7-cf32-4be9-9730-53985e1b9af5","BiomedicalConceptProperty_159","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","135553aa-a3d1-4c3f-9619-9d93812a6aa2","BiomedicalConceptProperty_160","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","51ebe8c4-0768-489f-8604-b15c6f708584","BiomedicalConceptProperty_161","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","0f0b3e2c-df96-470d-bfaf-b976b65654e9","BiomedicalConceptProperty_162","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","ce0419b3-4317-47b5-9124-3116ca02db61","BiomedicalConceptProperty_163","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","58f64f1c-10d9-4650-9f08-96eed7bfaeb9","BiomedicalConceptProperty_164","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","6aba0223-1f6c-42ed-9ab4-d8917e2f5321","BiomedicalConceptProperty_165","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","60562447-f89b-4b72-87a6-5567423f0514","BiomedicalConceptProperty_166","True","LBFAST"
"AETERM","BiomedicalConceptProperty","text","True","9311a656-2ff1-4bf1-bc0e-d59ec08ef407","BiomedicalConceptProperty_1","True","AETERM"
"AEDECOD","BiomedicalConceptProperty","text","True","6d515bec-fd39-4226-9864-82123a0cca5a","BiomedicalConceptProperty_2","True","AEDECOD"
"AEPRESP","BiomedicalConceptProperty","text","True","dece6fcf-ea5d-4014-b179-21c26bf7d745","BiomedicalConceptProperty_3","True","AEPRESP"
"AELOC","BiomedicalConceptProperty","text","True","8f70a43c-d0b7-41b6-b3d9-d8ff4e117d25","BiomedicalConceptProperty_4","True","AELOC"
"AESEV","BiomedicalConceptProperty","text","True","831417b9-9fa9-411f-a7e3-846f1e4dd6a1","BiomedicalConceptProperty_5","True","AESEV"
"AESER","BiomedicalConceptProperty","text","True","424d0977-3b3b-4ebd-a0ae-8d1c09e999be","BiomedicalConceptProperty_6","True","AESER"
"AEACN","BiomedicalConceptProperty","text","True","abaf517b-45a3-4eae-b34e-51ae4defee9b","BiomedicalConceptProperty_7","True","AEACN"
"AEACNOTH","BiomedicalConceptProperty","text","True","a975e3d7-0533-4e2d-8b2b-b58a10a9d129","BiomedicalConceptProperty_8","True","AEACNOTH"
"AEREL","BiomedicalConceptProperty","text","True","b33f75b8-12f7-4bca-8781-87696fe20e31","BiomedicalConceptProperty_9","True","AEREL"
"AERELNST","BiomedicalConceptProperty","text","True","1dd0570f-5cae-4b1c-98c8-229dc937cfb0","BiomedicalConceptProperty_10","True","AERELNST"
"AEPATT","BiomedicalConceptProperty","text","True","c6a827a0-7dc8-49f2-8b54-10a37bde254a","BiomedicalConceptProperty_11","True","AEPATT"
"AEOUT","BiomedicalConceptProperty","text","True","d9b2d2a8-88f2-4348-a997-3a6c173c67cf","BiomedicalConceptProperty_12","True","AEOUT"
"AESCAN","BiomedicalConceptProperty","text","True","891b75e2-c5cd-4996-a323-ae14b5663d70","BiomedicalConceptProperty_13","True","AESCAN"
"AESCONG","BiomedicalConceptProperty","text","True","2eaa4a75-0777-49bd-b696-91237e40f836","BiomedicalConceptProperty_14","True","AESCONG"
"AESDISAB","BiomedicalConceptProperty","text","True","9404b015-fff5-462b-9aa9-d95f32f799f1","BiomedicalConceptProperty_15","True","AESDISAB"
"AESDTH","BiomedicalConceptProperty","text","True","2f26d027-8dd5-4562-a2d0-ae8ae300586f","BiomedicalConceptProperty_16","True","AESDTH"
"AESHOSP","BiomedicalConceptProperty","text","True","9ecbb5f1-0a3f-497c-9b2c-fcc8396b45b6","BiomedicalConceptProperty_17","True","AESHOSP"
"AESLIFE","BiomedicalConceptProperty","text","True","721a8bab-4f69-49fc-a746-412c97fd546b","BiomedicalConceptProperty_18","True","AESLIFE"
"AESOD","BiomedicalConceptProperty","text","True","b1bb113c-e03a-4ec9-b2ae-f7ce0d391c1f","BiomedicalConceptProperty_19","True","AESOD"
"AESMIE","BiomedicalConceptProperty","text","True","329776be-b653-4872-9493-1cf86d948f91","BiomedicalConceptProperty_20","True","AESMIE"
"AECONTRT","BiomedicalConceptProperty","text","True","04c960c5-a984-41f0-8ea1-5f211b92d7f3","BiomedicalConceptProperty_21","True","AECONTRT"
"AESTDTC","BiomedicalConceptProperty","datetime","True","f516f4a7-3558-42c0-86ec-a60b3f0dc5f3","BiomedicalConceptProperty_22","True","AESTDTC"
"AEENDTC","BiomedicalConceptProperty","datetime","True","1147d412-7f0f-44de-a5f0-5917e1168c14","BiomedicalConceptProperty_23","True","AEENDTC"
"VSTESTCD","BiomedicalConceptProperty","","True","3533386b-22eb-4c96-85a6-605a0a6f173e","BiomedicalConceptProperty_24","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","integer","True","efa4b13e-ad5e-4c82-8f5a-667a324ae3f1","BiomedicalConceptProperty_25","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","99b96159-8bea-41bb-b89a-c55689ef1ab5","BiomedicalConceptProperty_26","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty","","True","8af2f58d-30f3-4a43-b9f0-e35cc7c86c96","BiomedicalConceptProperty_27","True","VSPOS"
"VSLOC","BiomedicalConceptProperty","","True","881c1f33-4d2c-4c7c-bb83-b676269f46cf","BiomedicalConceptProperty_28","True","VSLOC"
"VSLAT","BiomedicalConceptProperty","","True","7b987494-e29d-47aa-bcc9-d6ccb61a9c8f","BiomedicalConceptProperty_29","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty","","True","c49f98f1-150c-4dd3-8e20-84a0ce551d53","BiomedicalConceptProperty_30","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","integer","True","f6a8ffe4-5e59-49d6-a5c8-a64e63e487ac","BiomedicalConceptProperty_31","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","2af20798-c338-4db3-a13e-7f74ef223f57","BiomedicalConceptProperty_32","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty","","True","70930f0c-2f70-4555-a40a-9aa97814d599","BiomedicalConceptProperty_33","True","VSPOS"
"VSLOC","BiomedicalConceptProperty","","True","388f60af-1b58-422d-957f-4d9dc317cac5","BiomedicalConceptProperty_34","True","VSLOC"
"VSLAT","BiomedicalConceptProperty","","True","04777974-50f0-4fbe-9cff-4e8f6f06fae4","BiomedicalConceptProperty_35","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty","","True","36595383-a879-4027-8c5a-5c1ddd264f24","BiomedicalConceptProperty_36","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","float","True","8a3bde41-3781-4161-9a8c-c18a888fc6c4","BiomedicalConceptProperty_37","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","96c9d2c6-8168-4d58-8fdf-9e5759da6491","BiomedicalConceptProperty_38","True","VSORRESU"
"VSLOC","BiomedicalConceptProperty","","True","87bf3c48-885c-48f1-afd5-c1fb1ca5715d","BiomedicalConceptProperty_39","True","VSLOC"
"VSTESTCD","BiomedicalConceptProperty","","True","2a76195d-3fa3-438c-9866-c300800a6e36","BiomedicalConceptProperty_40","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","float","True","c98993a6-973b-4ef7-bc3d-6f976f13e0aa","BiomedicalConceptProperty_41","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","0f6188d6-1d8e-4847-b040-dd16c6380d6f","BiomedicalConceptProperty_42","True","VSORRESU"
"VSTESTCD","BiomedicalConceptProperty","","True","e653ffe5-ac5b-4f57-b225-84e6b35435a6","BiomedicalConceptProperty_43","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","float","True","acfb8b7c-5334-4b8d-980b-b3541bb344fd","BiomedicalConceptProperty_44","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","a1ae750c-2a34-410d-baad-a3f7a6c7ca6e","BiomedicalConceptProperty_45","True","VSORRESU"
"LBTESTCD","BiomedicalConceptProperty","","True","9942d048-170e-4b37-bb21-7a1f407f8bb8","BiomedicalConceptProperty_46","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","a407ece5-c874-4f57-80ba-39e8e3aecfd2","BiomedicalConceptProperty_47","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","07570bc0-f1fd-4ca5-861a-f8e09e3ebc98","BiomedicalConceptProperty_48","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","1e935cae-5d5b-49b6-9bb1-16c7e3c08f75","BiomedicalConceptProperty_49","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","54ea2dd7-03ad-4487-be38-d4fbabcfa2a3","BiomedicalConceptProperty_50","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","ac3f8298-7bfe-4277-8231-ca64ed33f7a1","BiomedicalConceptProperty_51","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","text","True","a559b481-fa7b-439b-98fb-8ebaffb35629","BiomedicalConceptProperty_52","True","LBORRES"
"LBSPEC","BiomedicalConceptProperty","","True","7910ef29-a17a-469a-9ad7-5afd554e9621","BiomedicalConceptProperty_53","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","cdb0efa5-1600-4847-9bf3-86ad58fd9533","BiomedicalConceptProperty_54","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","38f559c8-a7ec-4876-8c15-6d27086306dc","BiomedicalConceptProperty_55","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","e6e9a0ce-1746-40f0-ab0c-053315bd77ea","BiomedicalConceptProperty_56","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","c0232293-8377-442c-8494-b796c89211d4","BiomedicalConceptProperty_57","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","223d660b-f852-43a8-82c6-7427750bae3a","BiomedicalConceptProperty_58","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","a95685cf-dcbb-45f1-a093-370d55408422","BiomedicalConceptProperty_59","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","7c22873e-eecc-48be-a44d-4905c031024b","BiomedicalConceptProperty_60","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","4fdedc82-10b9-44e3-8704-59b782163c11","BiomedicalConceptProperty_61","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","20b77ff8-cea4-47c8-b66c-97c6a88883fe","BiomedicalConceptProperty_62","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","dcfa5989-a096-425b-acee-84782a2c8c03","BiomedicalConceptProperty_63","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","4ee3330d-3ef1-4a2a-9a5c-db09d48e52c1","BiomedicalConceptProperty_64","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","760bd39e-cccd-41ba-93ed-e276577f5246","BiomedicalConceptProperty_65","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","5d757199-0292-4a9a-b8ee-27596aa0fc00","BiomedicalConceptProperty_66","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","334bcd62-76d7-4e91-88ee-adf86f744525","BiomedicalConceptProperty_67","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","6ed4af3a-5a99-46c9-9bb2-7a7f7c1a095a","BiomedicalConceptProperty_68","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","eb91f111-0ee2-4dc1-b461-489dcb16a364","BiomedicalConceptProperty_69","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","4906e17f-d1fd-4c2b-962e-eca88ac1e174","BiomedicalConceptProperty_70","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","86caa8fe-7d1e-4c78-882b-39050a16ff78","BiomedicalConceptProperty_71","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","5769c3d4-2acb-411c-b937-182a8ee82d30","BiomedicalConceptProperty_72","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","f853bed2-ca2f-43da-944c-46a0fe2831ba","BiomedicalConceptProperty_73","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","d8a437ff-e608-4c98-93d8-97dc23f39f9c","BiomedicalConceptProperty_74","True","LBFAST"
"LBTESTCD","BiomedicalConceptProperty","","True","d3d66d13-d835-48d2-aaa0-e00b9162ab91","BiomedicalConceptProperty_75","True","LBTESTCD"
"LBORRES","BiomedicalConceptProperty","float","True","51414a6e-a7e8-46d6-9b31-07b8af562404","BiomedicalConceptProperty_76","True","LBORRES"
"LBORRESU","BiomedicalConceptProperty","","True","4c738e8c-011c-4cf8-a53b-69f4c24b6e44","BiomedicalConceptProperty_77","True","LBORRESU"
"LBSPEC","BiomedicalConceptProperty","","True","ac35ab0d-dc64-4ec9-bafc-6f98cb880f51","BiomedicalConceptProperty_78","True","LBSPEC"
"LBFAST","BiomedicalConceptProperty","","True","44320238-feab-4370-9ba8-cc85f1ea9588","BiomedicalConceptProperty_79","True","LBFAST"
"VSTESTCD","BiomedicalConceptProperty","","True","b39674b9-f7a9-48dc-8baf-c713f2367692","BiomedicalConceptProperty_80","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","integer","True","9fa15586-9b7c-4048-a2c1-6541bd631d97","BiomedicalConceptProperty_81","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","a2990fee-30c0-4eb7-b0d9-a5428ada8831","BiomedicalConceptProperty_82","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty","","True","d07c993a-7a15-446b-aef3-065aa52fb404","BiomedicalConceptProperty_83","True","VSPOS"
"VSLOC","BiomedicalConceptProperty","","True","48a8ba72-4b03-4c94-9e73-71d5b293a95b","BiomedicalConceptProperty_84","True","VSLOC"
"VSLAT","BiomedicalConceptProperty","","True","3c95dfb5-29ac-4d03-a5df-e448652efe5f","BiomedicalConceptProperty_85","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty","","True","3e20b218-177c-4ab8-93ef-27a727a02009","BiomedicalConceptProperty_86","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","integer","True","1979c294-0517-49a0-bf4e-79e1ce52e7ff","BiomedicalConceptProperty_87","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","05d02766-8039-4e73-8f56-27bacb5c13e5","BiomedicalConceptProperty_88","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty","","True","a0bdc3d0-b74d-40ef-90aa-99a3f475e8d9","BiomedicalConceptProperty_89","True","VSPOS"
"VSLOC","BiomedicalConceptProperty","","True","e9cce0b4-217a-4bd6-bf7b-6fc2917c6d01","BiomedicalConceptProperty_90","True","VSLOC"
"VSLAT","BiomedicalConceptProperty","","True","6d2b032d-6e9f-486a-866d-0a43cf1b15cb","BiomedicalConceptProperty_91","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty","","True","48ea759b-d958-4b92-b669-55518ebde745","BiomedicalConceptProperty_92","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","integer","True","a8754ac3-5d7e-4412-a223-5248bfb770c4","BiomedicalConceptProperty_93","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","94c06ce4-48e6-40b8-97a3-0e1d27c309bf","BiomedicalConceptProperty_94","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty","","True","77341cda-9fa0-4194-8593-a4af3cc674ff","BiomedicalConceptProperty_95","True","VSPOS"
"VSLOC","BiomedicalConceptProperty","","True","0148b8f8-63da-4eb4-8d02-2e6f0acb6f3d","BiomedicalConceptProperty_96","True","VSLOC"
"VSLAT","BiomedicalConceptProperty","","True","e03c1c2c-a353-494e-8e55-e978ebaa5fac","BiomedicalConceptProperty_97","True","VSLAT"
"VSTESTCD","BiomedicalConceptProperty","","True","4ad61946-d925-4638-8bb3-e8d7bd461dee","BiomedicalConceptProperty_98","True","VSTESTCD"
"VSORRES","BiomedicalConceptProperty","integer","True","2a1aae11-a955-4873-a7d7-40b0ffc5cc6c","BiomedicalConceptProperty_99","True","VSORRES"
"VSORRESU","BiomedicalConceptProperty","","True","488637ef-4b33-447d-a605-0e30a9fe85fb","BiomedicalConceptProperty_100","True","VSORRESU"
"VSPOS","BiomedicalConceptProperty","","True","858a3ef4-f732-4f41-99df-11d462663941","BiomedicalConceptProperty_101","True","VSPOS"
"VSLOC","BiomedicalConceptProperty","","True","4fc48cd1-8f15-4ce5-b3ef-30ab1572c056","BiomedicalConceptProperty_102","True","VSLOC"
"VSLAT","BiomedicalConceptProperty","","True","1bb07075-af41-4375-a692-d92a164a5c4e","BiomedicalConceptProperty_103","True","VSLAT"
