"instanceType","uuid:ID","id","minValue","isApproximate","maxValue"
"Range","b9e09965-69f9-4fef-8823-b28ea22888b1","Range_2","300.0","False","300.0"
"Range","0c5ee633-cbe3-44d9-a101-dc6a3af51754","Range_1","300.0","False","300.0"
"Range","618520f5-0e77-4a9e-bad6-4735b04b9601","Range_3","50.0","False","100.0"
