"instanceType","name","uuid:ID","id","description","label"
"SyntaxTemplateDictionary","IE_Dict","8b1eeb6e-b0b1-46fb-b2a1-bc0e8439b3e3","SyntaxTemplateDictionary_1","Dictionary for IE","IE Dictionary"
"SyntaxTemplateDictionary","AS_Dict","90c2d1f0-8099-4dfd-b5ba-82788c0b4397","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","Assessment Dictionary"
