"instanceType","label","id","description","name","uuid:ID"
"SyntaxTemplateDictionary","IE Dictionary","SyntaxTemplateDictionary_1","Dictionary for IE","IE_Dict","c17bca8f-ce5e-4c47-93a6-92e89d260fc3"
"SyntaxTemplateDictionary","Assessment Dictionary","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","AS_Dict","f9c109be-4d38-4f0f-822c-d80b59f3422c"
