"instanceType","minValue","isApproximate","id","maxValue","uuid:ID"
"Range","300.0","False","Range_2","300.0","06a8ca4b-cc96-41e5-a560-ee7c02ca5c94"
"Range","300.0","False","Range_1","300.0","9062fda6-7b51-40f6-a0a1-81098577451a"
"Range","50.0","False","Range_3","100.0","b3aac884-b742-42b1-ab9f-f6e7801adf79"
