"instanceType","dateValue","label","id","description","name","uuid:ID"
"GovernanceDate","2006-06-01","Design Approval","GovernanceDate_1","Design approval date","D_APPROVE","46d25f1f-e8a7-490c-8218-e6d2cec0068c"
"GovernanceDate","2006-07-01","Protocol Approval","GovernanceDate_2","Protocol document approval date","P_APPROVE","5997d7fc-d7da-44a9-8ae5-57ebabb1f10e"
