"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","6c2b8fa9-ba1a-4950-9c7c-fd28a69a5f17","StudyAmendmentReason_1",""
"StudyAmendmentReason","07f2e54a-ee01-40b1-9739-dd3fad480e81","StudyAmendmentReason_2","Fix typographical errors"
