"instanceType","datatype","label","id","isEnabled","isRequired","name","uuid:ID"
"BiomedicalConceptProperty","string","Sex","BiomedicalConceptProperty_116","True","True","Sex","df98ff8f-c951-4077-84d6-cb573b1ae48f"
"BiomedicalConceptProperty","string","Race","BiomedicalConceptProperty_117","True","True","Race","f7f11360-2e27-43cf-8e04-c720b3c6f2ed"
"BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_118","True","True","VSTESTCD","61bc0977-ad55-45c9-8620-5b6e5a65d90d"
"BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_119","True","True","VSORRES","9c5154e9-4f86-420a-a71f-0b8719b5a39d"
"BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_120","True","True","VSORRESU","99979c16-8166-40c2-95b0-4b108b11f774"
"BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_121","True","True","VSLOC","6e28feda-7112-43eb-96f2-db34d581465d"
"BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_122","True","True","VSTESTCD","e0253658-f7b7-4e0f-8e9e-bd0a871f0395"
"BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_123","True","True","VSORRES","9a2d87c2-560b-45ad-b59d-5d0afa64b043"
"BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_124","True","True","VSORRESU","101ccd10-5b48-49f3-a5d9-ec275322fa11"
"BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_125","True","True","VSTESTCD","413a66fe-7ecd-4dd9-9043-e101978e9cef"
"BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_126","True","True","VSORRES","d7f79d7c-56fb-40c1-9e7c-24f5e08f9ee2"
"BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_127","True","True","VSORRESU","eb01e6d2-4ea8-413c-8a53-5e62a98b0af2"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_128","True","True","LBTESTCD","78ec873d-ffe7-4806-b100-239d364e56a7"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_129","True","True","LBORRES","59b9dabf-204e-4d3c-b38e-f02a13bb4961"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_130","True","True","LBORRESU","11b69772-39fa-4107-bf1f-b5ededb0feac"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_131","True","True","LBSPEC","ccea0055-6e1b-4e3e-baaf-18a83acc4d05"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_132","True","True","LBFAST","01028183-81fa-4f15-adaf-70680a92bd33"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_133","True","True","LBTESTCD","829e2ee1-2f66-499d-bd14-519820f0e73d"
"BiomedicalConceptProperty","text","LBORRES","BiomedicalConceptProperty_134","True","True","LBORRES","1b3f9d8e-d5bc-479b-9bae-68c384e3f402"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_135","True","True","LBSPEC","7e959b3e-e67c-4c7e-9325-a959e0117102"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_136","True","True","LBFAST","4d6d247b-5885-4ae6-a9df-69e32391949b"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_137","True","True","LBTESTCD","e66356f7-c5d3-4876-bad8-e7e52027ebbc"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_138","True","True","LBORRES","490a14c5-4dfd-4ed3-b2d2-62cd640b07f0"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_139","True","True","LBORRESU","f66a3b66-ea23-4c57-a1ae-3abe2fbea257"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_140","True","True","LBSPEC","f418fe06-73d6-4cb2-b6a5-f3164378d36e"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_141","True","True","LBFAST","7261bb9a-793b-4267-8dea-d6a89d3ffdd2"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_142","True","True","LBTESTCD","9c184fee-2487-46ef-a494-fbe18b51d0d1"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_143","True","True","LBORRES","ddd0d92e-d078-4104-a46d-7fd8b3300520"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_144","True","True","LBORRESU","1d545a6c-627d-4031-9d8b-51472d299002"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_145","True","True","LBSPEC","66e80f61-9abb-43c9-b167-f433ce50a36b"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_146","True","True","LBFAST","3875b34a-0f2c-47cc-846d-5f78f722c64b"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_147","True","True","LBTESTCD","21662077-62cd-4bbf-91f2-6ed559c07dfe"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_148","True","True","LBORRES","50360adb-e0c7-473c-ae09-a3ddaa64c876"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_149","True","True","LBORRESU","3c0e9a64-a9d0-413e-9638-ad6e8da9fc99"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_150","True","True","LBSPEC","e35e6296-dc90-4228-91fd-32c7818e7c78"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_151","True","True","LBFAST","d3d0d55a-9230-4868-a5da-91d5a63a049f"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_152","True","True","LBTESTCD","a798f33b-cac2-4856-aaac-37df5cfe4426"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_153","True","True","LBORRES","4553d6d4-59da-4e12-a898-650dbeeff215"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_154","True","True","LBORRESU","1ffae08a-4b70-4793-8e49-d5e84985623d"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_155","True","True","LBSPEC","3cf499b9-ef6a-46b3-9c33-d8413461aa6d"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_156","True","True","LBFAST","43684465-db40-4d11-8aed-f544ad40c28f"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_157","True","True","LBTESTCD","a9dc3630-a7b5-420c-818d-b72176683707"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_158","True","True","LBORRES","0d29955b-744b-4706-bb8b-a8153eccf996"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_159","True","True","LBORRESU","8063cab4-a931-4d05-8518-2bfdd7d1d8f8"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_160","True","True","LBSPEC","646b4cca-65f4-46e8-8809-3c0bf91a15c2"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_161","True","True","LBFAST","1c2e932d-4136-4a34-842b-3a9bbe57b73f"
"BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_162","True","True","LBTESTCD","a39e7d3d-c06f-4843-a01a-ca3093d61075"
"BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_163","True","True","LBORRES","93ef4082-c14b-4eb3-8020-2a99d3a4a1c3"
"BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_164","True","True","LBORRESU","66e64ca1-98d7-4033-ba24-b54d46086680"
"BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_165","True","True","LBSPEC","e1134184-2b53-4ab3-9526-0e98d757b079"
"BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_166","True","True","LBFAST","d3dc07ef-336b-43ed-9e53-7a886e415728"
"BiomedicalConceptProperty","text","AETERM","BiomedicalConceptProperty_1","True","True","AETERM","8c3a019e-4bd7-4f73-b42f-fb474507a955"
"BiomedicalConceptProperty","text","AEDECOD","BiomedicalConceptProperty_2","True","True","AEDECOD","9f37daf6-8c9d-4fc1-a4f1-29d79bd70731"
"BiomedicalConceptProperty","text","AEPRESP","BiomedicalConceptProperty_3","True","True","AEPRESP","5ea04c9d-3dfc-4916-b774-d1e8496f47a4"
"BiomedicalConceptProperty","text","AELOC","BiomedicalConceptProperty_4","True","True","AELOC","b58b8af9-1ba2-4a62-9483-ba04603bfccf"
"BiomedicalConceptProperty","text","AESEV","BiomedicalConceptProperty_5","True","True","AESEV","7e3fd4ed-7158-41fc-8126-69ce1ef35aa4"
"BiomedicalConceptProperty","text","AESER","BiomedicalConceptProperty_6","True","True","AESER","eb3abff4-ce66-4c43-9fc1-ae67e85a58c2"
"BiomedicalConceptProperty","text","AEACN","BiomedicalConceptProperty_7","True","True","AEACN","a50cbabf-4dd5-4ff9-811a-aeaa5b2d83a9"
"BiomedicalConceptProperty","text","AEACNOTH","BiomedicalConceptProperty_8","True","True","AEACNOTH","27e54d3f-aa50-47cf-8e3b-95e54212b875"
"BiomedicalConceptProperty","text","AEREL","BiomedicalConceptProperty_9","True","True","AEREL","2094d7e8-5319-4f8a-977e-76544b7f7948"
"BiomedicalConceptProperty","text","AERELNST","BiomedicalConceptProperty_10","True","True","AERELNST","1b932ae9-3233-408d-b41a-8f6e497b2b61"
"BiomedicalConceptProperty","text","AEPATT","BiomedicalConceptProperty_11","True","True","AEPATT","703b67f2-543d-4b64-bad9-ca53c8891df3"
"BiomedicalConceptProperty","text","AEOUT","BiomedicalConceptProperty_12","True","True","AEOUT","6e151fed-b2bc-4960-9b8e-74b2bdf34636"
"BiomedicalConceptProperty","text","AESCAN","BiomedicalConceptProperty_13","True","True","AESCAN","3332b9e0-847c-415d-b073-6a4efee76e4c"
"BiomedicalConceptProperty","text","AESCONG","BiomedicalConceptProperty_14","True","True","AESCONG","61a703f8-321f-4d98-ad95-64caec0f6ca4"
"BiomedicalConceptProperty","text","AESDISAB","BiomedicalConceptProperty_15","True","True","AESDISAB","106bab19-3b0f-4d5c-b960-c74f7e2a0e15"
"BiomedicalConceptProperty","text","AESDTH","BiomedicalConceptProperty_16","True","True","AESDTH","b7158e43-fea9-432a-8be2-ab563c90e2a7"
"BiomedicalConceptProperty","text","AESHOSP","BiomedicalConceptProperty_17","True","True","AESHOSP","d230cf48-aebb-43c2-b6fe-1cf12c2031a2"
"BiomedicalConceptProperty","text","AESLIFE","BiomedicalConceptProperty_18","True","True","AESLIFE","b853cefd-e603-4fda-a95a-d8b7416e9413"
"BiomedicalConceptProperty","text","AESOD","BiomedicalConceptProperty_19","True","True","AESOD","ea960829-cf16-4c56-890a-df86d622f8e7"
"BiomedicalConceptProperty","text","AESMIE","BiomedicalConceptProperty_20","True","True","AESMIE","2c6aed05-af3c-43b2-bf1b-0dd9341574fd"
"BiomedicalConceptProperty","text","AECONTRT","BiomedicalConceptProperty_21","True","True","AECONTRT","1302979c-2180-431b-be1c-6c91a3939241"
"BiomedicalConceptProperty","datetime","AESTDTC","BiomedicalConceptProperty_22","True","True","AESTDTC","3e83f10f-07d0-4e3d-a2ea-f4835acdee22"
"BiomedicalConceptProperty","datetime","AEENDTC","BiomedicalConceptProperty_23","True","True","AEENDTC","ef15d448-836f-46fb-8e1a-2f7dfbe6aef6"
"BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_24","True","True","VSTESTCD","2f3634b4-6a60-4730-8c80-2932b06273af"
"BiomedicalConceptProperty","integer","VSORRES","BiomedicalConceptProperty_25","True","True","VSORRES","8a509eec-3739-4c25-95dd-995b52fb1087"
