"description","instanceType","dateValue","id","name","uuid:ID","label"
"Design approval date","GovernanceDate","2006-06-01","GovernanceDate_1","D_APPROVE","ca544610-31b7-4929-a743-105796dab8bc","Design Approval"
"Protocol document approval date","GovernanceDate","2006-07-01","GovernanceDate_2","P_APPROVE","c452dc38-12d5-4326-a5ae-55b141df641a","Protocol Approval"
