"description","instanceType","id","name","uuid:ID","label"
"Dictionary for IE","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","IE_Dict","97ad17ea-3fd1-4242-8da5-ad4f2beb21a5","IE Dictionary"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","AS_Dict","d55987e5-a879-4422-b8a8-beefd0d36536","Assessment Dictionary"
