"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","514efbc1-dfc6-45ce-8ec9-292a4bbd6974","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","97fa890d-379a-413f-9f6e-8335cb58489f","StudyAmendmentReason"
