"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","d482a436-30a6-4121-95d6-77aabd4848b0","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","13683792-190f-415a-a486-ad4439fe1a2c","StudyAmendmentReason"
