"id","uuid:ID","instanceType","maxValue","isApproximate","minValue"
"Range_2","8a0f6787-635a-45e0-b591-a34c629f3b0f","Range","300.0","False","300.0"
"Range_1","392581bc-f6e5-4696-9d20-76e47fbc1f85","Range","300.0","False","300.0"
"Range_3","ab1bdd9e-72d2-431f-98ea-c4c8739ad997","Range","100.0","False","50.0"
