"uuid:ID","description","label","dateValue","id","instanceType","name"
"408dd894-af43-4e83-a188-61bc7cfba302","Design approval date","Design Approval","2006-06-01","GovernanceDate_1","GovernanceDate","D_APPROVE"
"73f769ae-1913-4c7f-865d-2b09f34d9664","Protocol document approval date","Protocol Approval","2006-07-01","GovernanceDate_2","GovernanceDate","P_APPROVE"
