"uuid:ID","instanceType","otherReason","id"
"74067f26-eabd-495c-aeff-20c88b1d0d49","StudyAmendmentReason","","StudyAmendmentReason_1"
"3d0cf874-a486-44bd-a535-d3001d0dbc15","StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2"
