"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","dc04838a-d792-45be-a837-f6662f3f6e03"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","1cba0db8-4918-4cb4-90ae-90823c6c7029"
