"id","instanceType","description","uuid:ID","name","label","dateValue"
"GovernanceDate_1","GovernanceDate","Design approval date","7c5eff26-6b79-4d23-99dd-1ddada51b774","D_APPROVE","Design Approval","2006-06-01"
"GovernanceDate_2","GovernanceDate","Protocol document approval date","03cd2de9-2ee4-48a0-ba32-d2441598fe88","P_APPROVE","Protocol Approval","2006-07-01"
