"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","1e0a8bc4-828a-40fa-8ab0-9390ad104bf3","StudyAmendmentReason_1",""
"StudyAmendmentReason","ee65ea91-3e92-4cda-b0b4-83933df2c1a1","StudyAmendmentReason_2","Fix typographical errors"
