"id","name","uuid:ID","label","instanceType","description"
"SyntaxTemplateDictionary_1","IE_Dict","0ea0b57b-de36-481f-aec8-2b48911ea94b","IE Dictionary","SyntaxTemplateDictionary","Dictionary for IE"
"SyntaxTemplateDictionary_2","AS_Dict","7e8b1e04-c974-4ce7-80e1-71dc254087a9","Assessment Dictionary","SyntaxTemplateDictionary","Dictionary for Study Assessments"
