"uuid:ID","instanceType","studyIdentifier","id"
"19f7796c-d254-4454-ac29-a4bf07d367ff","StudyIdentifier","ALXN1840-WD-204","StudyIdentifier_1"
"7dc9be92-b2dd-41e2-808d-add06e8326a7","StudyIdentifier","NCT04573309","StudyIdentifier_2"
"e5f7e58b-e09f-48da-936c-631e0f053343","StudyIdentifier","2020-001104-41","StudyIdentifier_3"
"e476ca19-7024-4ac3-a318-e46392b92346","StudyIdentifier","119006","StudyIdentifier_4"
