"uuid:ID","label","name","instanceType","id","description"
"ca4133a0-ad47-4ce3-9c63-37856e05bb83","Screening","E1","Encounter","Encounter_1","Screening encounter"
"540db0b5-3f97-4b69-9228-791c0dbd92b6","Day -21","E2","Encounter","Encounter_2","Day -21 encounter"
"a87d8699-92b9-4e1b-bba0-25401c4d932f","Day -8","E3","Encounter","Encounter_3","Day -8 encounter"
"26985e21-3cc4-4ae0-a21f-42c48d1bf92a","Day -7","E4","Encounter","Encounter_4","Day -7 encounter"
"13e7df1f-75d4-44a2-8e2a-bceb184aa93f","Day -6 through -5","E5","Encounter","Encounter_5","Day -5 and Day -6 encounter"
"87334bb7-d384-4eee-b77b-80b414f57f3f","Day -4","E6","Encounter","Encounter_6","Day -4 encounter"
"0e07177b-cf08-483f-93e2-e38701754c47","Day -3","E7","Encounter","Encounter_7","Day -3 encounter"
"941328bf-fb98-4ff0-9629-6ff6ea3f8dd3","Day -2","E8","Encounter","Encounter_8","Day -2 encounter"
"1abe7cc3-1d61-45a7-81c2-261f50c402b7","Day -1","E9","Encounter","Encounter_9","Day -1 encounter"
"f99f29dc-173a-42d0-a090-59f0e58713d8","Day 1","E10","Encounter","Encounter_10","Day 1 encounter"
"1fe055e2-0979-4a85-854e-36deefa1ce77","Day 2","E11","Encounter","Encounter_11","Day 2 encounter"
"91a8941a-1088-46c3-b8c7-693e25aca4ab","Day 3","E12","Encounter","Encounter_12","Day 3 encounter"
"998b4234-cb1d-4b8b-ab62-71f001965914","Day 4","E13","Encounter","Encounter_13","Day 4 encounter"
"81ba5174-ac5a-4e6f-b9b8-c3dc7c47ea93","Day 5","E14","Encounter","Encounter_14","Day 5 encounter"
"6a6981fc-92f9-4475-a281-70b1ede83fcc","Day 6","E15","Encounter","Encounter_15","Day 6 encounter"
"715e6994-d412-4d59-ac4b-bf1bd21f96ce","Day 7","E16","Encounter","Encounter_16","Day 7 encounter"
"df1fbc79-50c1-4008-9880-6c307f7a907e","Day 8","E17","Encounter","Encounter_17","Day 8 encounter"
"864deec3-7ddf-4b98-90de-39b3e0373cae","Day 9","E18","Encounter","Encounter_18","Day 9 encounter"
"bf7624a6-6cd7-4acf-a391-01b8d93310c4","Day 10","E19","Encounter","Encounter_19","Day 10 encounter"
"d11f62af-0f03-4598-a4d6-7e18a2db5963","Day 11","E20","Encounter","Encounter_20","Day 11 encounter"
"11c14e5d-2f00-4c3e-b135-29f288ea5067","Day 12","E21","Encounter","Encounter_21","Day 12 encounter"
"9c954899-d71c-4b1e-bc3c-599924f21165","Day 13","E22","Encounter","Encounter_22","Day 13 encounter"
"8b3dcb5d-29ad-4046-bc7c-379101c45ca8","Day 14","E23","Encounter","Encounter_23","Day 14 encounter"
"6bc14616-57d4-494d-b35c-a063b4ae2e67","Day 15","E24","Encounter","Encounter_24","Day 15 encounter"
