"uuid:ID","windowLabel","windowUpper","windowLower","label","name","value","instanceType","valueLabel","id","description"
"f5c97a97-a1dc-43b2-b16b-dcb9148c2872","0..33 Days","P33D","P0D","Screening","TIM1","P42D","Timing","42 Days","Timing_1","Screening timing"
"bc26337d-2308-45dd-bc1f-1b09436f5621","","","","Discontinue Zinc","TIM2","P21D","Timing","21 Days","Timing_2","Discontinuation of zinc therapy timing"
"557559ef-a812-4965-811a-219a12b3b045","","","","Check in","TIM3","P8D","Timing","8 Days","Timing_3","Check in timing"
"f6a779ce-62b4-4b4c-b373-ecc301d48651","","","","Day -7","TIM4","P7D","Timing","7 Days","Timing_4","Timing for day -7"
"c30d9efa-afd6-4225-a06d-f3d4ad2e6258","","","","Day -6 & -5 Start","TIM5","PT0M","Timing","0 minutes","Timing_5","Cycle start for day -6 and -5"
"6bc2b873-7684-4bc9-8547-8641a99a8ca4","","","","Day -6 & -5","TIM6","P1D","Timing","1 Day","Timing_6","Timing for day -6 and -5"
"42467a7d-24c3-4e9f-83ec-4b0f04ec4a07","","","","Day -6 & -5 Decision","TIM7","PT0M","Timing","0 minutes","Timing_7","Decision for day -6 and -5"
"f96b3010-41e1-4835-b382-e9d47abf4fef","","","","Day -4","TIM8","P4D","Timing","4 Days","Timing_8","Timing for day -4"
"f78a25e8-c133-4f67-a2c5-76eff3415de6","","","","Day -3","TIM9","P3D","Timing","3 Days","Timing_9","Timing for day -3"
"0d1d0afe-d0a6-4505-b6e3-e45934ae1e29","","","","Day -2","TIM10","P2D","Timing","2 Days","Timing_10","Timing for day -2"
"349e4595-7bda-4ec5-b1fa-81839c850dfe","","","","Day -1","TIM11","P1D","Timing","1 Days","Timing_11","Timing for day -1"
"45217091-74e3-4087-b6ab-335bb87f0a01","","","","Day 1","TIM12","P1D","Timing","1 Day","Timing_12","Day 1 anchor"
"bd895498-1845-4fad-b5e8-96a23b27e61a","","","","Day 2","TIM13","P1D","Timing","1 Days","Timing_13","Timing for day 2"
"a36ba221-17e9-4b79-bf53-a4e93542d8b2","","","","Day 3","TIM14","P2D","Timing","2 Days","Timing_14","Timing for day 3"
"11123881-fb4b-4927-bb8d-a5fbd3eb9d5d","","","","Day 4","TIM15","P3D","Timing","3 Days","Timing_15","Timing for day 4"
"264f9c41-aa76-4d19-b1f3-d97dc993b3d4","","","","Day 5","TIM16","P4D","Timing","4 Days","Timing_16","Timing for day 5"
"6a462ddb-9e03-4286-b456-e2162a5c1e84","","","","Day 6","TIM17","P5D","Timing","5 Days","Timing_17","Timing for day 6"
"ee5bbd3d-e446-4046-93e5-dbc2287287a1","","","","Day 7","TIM18","P6D","Timing","6 Days","Timing_18","Timing for day 7"
"8cabc70b-b39a-4ab1-9eae-d6d628a62bc0","","","","Day 8","TIM19","P7D","Timing","7 Days","Timing_19","Timing for day 8"
"65a510dd-818e-40d9-a29d-acd8646d8ea0","","","","Day 9","TIM20","P8D","Timing","8 Days","Timing_20","Timing for day 9"
"e08bb431-b5c1-4d84-965f-7ad31b7574aa","","","","Day 10","TIM21","P9D","Timing","9 Days","Timing_21","Timing for day 10"
"668ca3ca-9d81-4527-9c48-83157b60c98e","","","","Day 11","TIM22","P10D","Timing","10 Days","Timing_22","Timing for day 11"
"6d4e50f9-8c26-45ee-984d-790020c05989","","","","Day 12","TIM23","P11D","Timing","11 Days","Timing_23","Timing for day 12"
"a16165fe-9b36-485c-ae80-ad7ef5100780","","","","Day 13","TIM24","P12D","Timing","12 Days","Timing_24","Timing for day 13"
"00dd3c83-31b0-4637-b834-d52a01019aab","","","","Day 14","TIM25","P13D","Timing","13 Days","Timing_25","Timing for day 14"
"16d57937-4cb3-4984-bbe4-e79a3852ab91","","","","Day 15","TIM26","P14D","Timing","14 Days","Timing_26","Timing for day 15"
"51a7215b-1149-4917-b04a-34338a391386","","","","Day 16","TIM27","P15D","Timing","15 Days","Timing_27","Timing for day 16"
"60a7a9b6-9209-4266-942d-a1cb52bb1d7b","","","","Day 17","TIM28","P16D","Timing","16 Days","Timing_28","Timing for day 17"
"3fbedd90-bf34-4cb0-817b-31c5161dd033","","","","Day 18","TIM29","P17D","Timing","17 Days","Timing_29","Timing for day 18"
"c76df1a8-a414-4dc2-80de-5c8f640a7b85","","","","Day 19","TIM30","P18D","Timing","18 Days","Timing_30","Timing for day 19"
"d5827aee-8475-4004-b3dc-eac23ad8fa61","","","","Day 20","TIM31","P19D","Timing","19 Days","Timing_31","Timing for day 20"
"76c2cf48-2b5f-4a47-b96e-8ecfa3c9a19b","","","","Day 21","TIM32","P20D","Timing","20 Days","Timing_32","Timing for day 21"
"f2939a61-c7ed-4db6-8a09-6a06b579a9ef","","","","Day 22","TIM33","P21D","Timing","21 Days","Timing_33","Timing for day 22"
"fc07f721-f2ec-412d-a2d9-439d6d1d8cda","","","","Day 23","TIM34","P22D","Timing","22 Days","Timing_34","Timing for day 23"
"948ed064-41fa-44ae-aad7-fa8cfe01198f","","","","Day 24","TIM35","P23D","Timing","23 Days","Timing_35","Timing for day 24"
"edf00842-85bd-4d3a-a652-a1685b7eb295","","","","Day 25","TIM36","P24D","Timing","24 Days","Timing_36","Timing for day 25"
