"uuid:ID","label","name","instanceType","id","description"
"33daa409-073d-45cc-a46c-f00561447104","-42 to -9","SCREEN","ScheduledActivityInstance","ScheduledActivityInstance_15","Day -42 to -9"
"ecaf164f-4bab-412d-888d-9d4ceaa9cf0f","-21","ZINC","ScheduledActivityInstance","ScheduledActivityInstance_16","Day -21"
"10c25997-0143-46be-b362-8c548d8a5b51","-8","CHECK_IN","ScheduledActivityInstance","ScheduledActivityInstance_17","Day -8, check in day"
"ad22bff0-9337-4a9d-977c-7568283882aa","-7","D-7","ScheduledActivityInstance","ScheduledActivityInstance_18","Day -7"
"63c3ee43-d25a-444a-ba22-7a4bcf870676","","D-6-5_START","ScheduledActivityInstance","ScheduledActivityInstance_19",""
"1f57a6a3-c957-4a68-9dff-066b43cc3d6c","-6 through -5","D-6-5","ScheduledActivityInstance","ScheduledActivityInstance_20","Day -6 and -5"
"d609d9f1-4220-4396-8246-a959b15b6bbe","-4","D-4","ScheduledActivityInstance","ScheduledActivityInstance_21","Day -4"
"4c8e792c-8421-48f8-be8f-63367fb26bda","-3","D-3","ScheduledActivityInstance","ScheduledActivityInstance_22","Day -3"
"83bfbe36-6a78-401e-b76b-ed2718d31026","-2","D-2","ScheduledActivityInstance","ScheduledActivityInstance_23","Day -2"
"05ee07af-b325-444d-978f-ed13f4c8e720","-1","D-1","ScheduledActivityInstance","ScheduledActivityInstance_24","Day -1"
"6d11aca7-6ce7-4f27-b585-8bcf75ccb659","1","D1","ScheduledActivityInstance","ScheduledActivityInstance_25","Day 1"
"269bc0e2-7722-4e1f-afa7-53f4e38b77c0","2","D2","ScheduledActivityInstance","ScheduledActivityInstance_26","Day 2"
"46459c64-4115-48e5-b9d5-150e1e47a2bb","3","D3","ScheduledActivityInstance","ScheduledActivityInstance_27","Day 3"
"9314a140-cb0a-4152-8e23-a264eb9cf863","4","D4","ScheduledActivityInstance","ScheduledActivityInstance_28","Day 4"
"336ecde7-c5de-4112-83dd-77afe20821a0","5","D5","ScheduledActivityInstance","ScheduledActivityInstance_29","Day 5"
"c88127f4-a453-4595-b874-9df54378e132","6","D6","ScheduledActivityInstance","ScheduledActivityInstance_30","Day 6"
"f9677820-43d2-4436-b58d-5f9371a4e234","7","D7","ScheduledActivityInstance","ScheduledActivityInstance_31","Day 7"
"0709b2c1-24dc-49ec-aef2-6cae4559cbee","8","D8","ScheduledActivityInstance","ScheduledActivityInstance_32","Day 8"
"037b368e-b512-4351-ab53-64bc5a964b84","9","D9","ScheduledActivityInstance","ScheduledActivityInstance_33","Day 9"
"5a38140f-5c70-499e-aa87-e8b195d6de2e","10","D10","ScheduledActivityInstance","ScheduledActivityInstance_34","Day 10"
"3060d045-c852-4d34-89b6-38a305d9207e","11","D11","ScheduledActivityInstance","ScheduledActivityInstance_35","Day 11"
"8b4a2692-83ab-4213-a4d8-62bb59b85e1a","12","D12","ScheduledActivityInstance","ScheduledActivityInstance_36","Day 12"
"2817c6aa-d280-4680-8fea-98d8b5dc0c7d","13","D13","ScheduledActivityInstance","ScheduledActivityInstance_37","Day 13"
"0fcd7adf-4a09-4e6b-9556-737634d8f71d","14","D14","ScheduledActivityInstance","ScheduledActivityInstance_38","Day 14"
"de5bc47a-fbe4-4556-8b04-1a8a8dff363e","15","D15","ScheduledActivityInstance","ScheduledActivityInstance_39","Day 15"
"68b1e528-0cd0-49e1-b8ac-b16db54248cc","16","D16","ScheduledActivityInstance","ScheduledActivityInstance_40","Day 16"
"78a528fd-143f-4902-a3c7-1878c9ab27f8","17","D17","ScheduledActivityInstance","ScheduledActivityInstance_41","Day 17"
"0333af18-8e1f-42da-8eb1-50fe0de16f8f","18","D18","ScheduledActivityInstance","ScheduledActivityInstance_42","Day 18"
"d38fb746-8f1b-43f7-b97b-f1129013224a","19","D19","ScheduledActivityInstance","ScheduledActivityInstance_43","Day 19"
"a5ed32a2-1237-4e35-adc0-c80a614fae7c","20","D20","ScheduledActivityInstance","ScheduledActivityInstance_44","Day 20"
"2d70a039-faf2-4487-b5c6-214d8a1606fd","21","D21","ScheduledActivityInstance","ScheduledActivityInstance_45","Day 21"
"7d8ff5cf-170d-4ea5-8bcd-8fa2a0872bf4","22","D22","ScheduledActivityInstance","ScheduledActivityInstance_46","Day 22"
"aa80225b-b039-44c4-9179-0cb7779e5fd1","23","D23","ScheduledActivityInstance","ScheduledActivityInstance_47","Day 23"
"6263d342-ecc2-4200-944f-4153729d51ec","24","D24","ScheduledActivityInstance","ScheduledActivityInstance_48","Day 24"
"778df393-e65a-4809-93f2-96e9000dcfe8","25","D25","ScheduledActivityInstance","ScheduledActivityInstance_49","Day 25"
"a518ce01-e8f2-4591-8d4d-f78b852df1d6","26","D26","ScheduledActivityInstance","ScheduledActivityInstance_50","Day 26"
"dfd197da-846a-41ce-9ec3-cc594479eb92","27","D27","ScheduledActivityInstance","ScheduledActivityInstance_51","Day 27"
"00b016b0-e32e-40ed-9633-092953971e31","28","D28","ScheduledActivityInstance","ScheduledActivityInstance_52","Day 28"
"e888d4df-a7b8-47e9-9d37-e9d2280e33dd","29","D29","ScheduledActivityInstance","ScheduledActivityInstance_53","Day 29"
"0f11b9e5-dde0-43a9-bfea-50b6c3cfdeac","30","D30","ScheduledActivityInstance","ScheduledActivityInstance_54","Day 30"
"694a510c-1337-43f8-bdb7-9f367e2808a0","31","D31","ScheduledActivityInstance","ScheduledActivityInstance_55","Day 31"
"3c168b3d-bf73-4ea8-b788-92b7a33dc213","32","D32","ScheduledActivityInstance","ScheduledActivityInstance_56","Day 32"
"5bfa426a-6f32-48ac-a7b4-e053b62dcbe2","33","D33","ScheduledActivityInstance","ScheduledActivityInstance_57","Day 33"
"298b7792-38d4-4107-865a-65e684ed4d2f","34","D34","ScheduledActivityInstance","ScheduledActivityInstance_58","Day 34"
"16eff909-c2c1-4ac8-82e6-4bbfdf026012","35","D35","ScheduledActivityInstance","ScheduledActivityInstance_59","Day 35"
"4463f821-ef96-4897-b993-41f200b92972","36","D36","ScheduledActivityInstance","ScheduledActivityInstance_60","Day 36"
"548f039a-60a7-4eff-a4c8-e4998a6cbb05","37","D37","ScheduledActivityInstance","ScheduledActivityInstance_61","Day 37"
"73938a00-9954-484a-acea-2dedfb3891cc","38","D38","ScheduledActivityInstance","ScheduledActivityInstance_62","Day 38"
"db7a62ba-9189-4f9a-9d55-9ced3138118c","39","D39","ScheduledActivityInstance","ScheduledActivityInstance_63","Day 39"
"e033cd7b-1e07-435a-989a-a6213e5e98b0","40","D40","ScheduledActivityInstance","ScheduledActivityInstance_64","Day 40"
"f791726e-527c-4087-abca-d3569139db75","EOS","EOS","ScheduledActivityInstance","ScheduledActivityInstance_65","End Of Study"
"55760308-0c4c-4051-b032-a51c4389620d","Adevers Event","AE","ScheduledActivityInstance","ScheduledActivityInstance_1","-"
"85a41e61-82da-4c07-920d-4290a8f8ca8f","Early Termination","ET","ScheduledActivityInstance","ScheduledActivityInstance_2","-"
"45e20c46-9efe-4fd3-acab-fcbc4d5d3306","30 minutes before","PKPD -0-5","ScheduledActivityInstance","ScheduledActivityInstance_3","30 minutes before start of profile"
"71832a31-1068-4c7c-b416-0b4b10468ca4","Start of Profile","PKPD 0","ScheduledActivityInstance","ScheduledActivityInstance_4","Start of the PK/PD Profile"
"3f78ed45-10c6-4913-865c-da9fac45aaec","1 Hour","PKPD 1","ScheduledActivityInstance","ScheduledActivityInstance_5","1 hour after start"
"91723a95-30ae-472a-8d0c-3fffee7b9419","2 Hours","PKPD 2","ScheduledActivityInstance","ScheduledActivityInstance_6","2 hours after start"
"c9c8141a-df34-4a23-b1e9-bb0f74fb1394","3 Hours","PKPD 3","ScheduledActivityInstance","ScheduledActivityInstance_7","3 hours after the start"
"0dd4641d-47f7-4498-b9a2-c9650960dd4e","4 Hours","PKPD 4","ScheduledActivityInstance","ScheduledActivityInstance_8","4 hours after the start"
"deba71f9-620b-4479-8dd3-7359b597aaa5","5 Hours","PKPD 5","ScheduledActivityInstance","ScheduledActivityInstance_9","5 hours after the start"
"0976ff3d-2223-43e0-96a7-aca19fccc805","6 Hours","PKPD 6","ScheduledActivityInstance","ScheduledActivityInstance_10","6 hours after the start"
"2580ff30-dd6b-49f3-857b-c07301fc6f8f","8 Hours","PKPD 8","ScheduledActivityInstance","ScheduledActivityInstance_11","8 Hhours after the start"
"4e3cc495-8710-4be2-aa13-24069f5d67c3","12 Hours","PKPD 12","ScheduledActivityInstance","ScheduledActivityInstance_12","12 hours after the start"
"6e31590d-495f-4510-ac2d-9bb598028bbb","24 Hours","PKPD 24","ScheduledActivityInstance","ScheduledActivityInstance_13","24 hours after the start"
"3b20d0cb-5afc-4f1a-8988-3760addb36df","Unscheduled","UNSCHEDULED","ScheduledActivityInstance","ScheduledActivityInstance_14","Unscheduled Visit"
