"maxValue","uuid:ID","isApproximate","instanceType","id","minValue"
"10.0","3814d834-384c-4f7b-a786-3ef61a028fc2","False","Range","Range_2","10.0"
"10.0","47079fec-5d24-4ffc-98fb-dd68403fd6c5","False","Range","Range_1","10.0"
"100.0","da5c7007-c09f-4b02-9b76-1623947dd85d","False","Range","Range_3","18.0"
