"uuid:ID","isRequired","isEnabled","label","name","datatype","instanceType","id"
"b1e28b99-fa80-4b9f-a457-363c294e8d28","True","True","Numeric Age for Data Tabulation","Numeric Age for Data Tabulation","decimal","BiomedicalConceptProperty","BiomedicalConceptProperty_24"
"8052ff13-a8b9-4eb6-9ccf-64057ab4f236","True","True","Age Unit","Age Unit","string","BiomedicalConceptProperty","BiomedicalConceptProperty_25"
"591f7b35-4a5a-4359-81d0-5e256c9188e6","True","True","Sex","Sex","string","BiomedicalConceptProperty","BiomedicalConceptProperty_26"
"5fcec4a6-cd3d-498e-a572-971e53b66b99","True","True","Race","Race","string","BiomedicalConceptProperty","BiomedicalConceptProperty_27"
"5fcd298d-e62a-401c-a9a2-94f9ea6351d8","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_28"
"685ad67e-1f98-4a4c-963b-b70aa7f0aa3d","True","True","VSORRES","VSORRES","float","BiomedicalConceptProperty","BiomedicalConceptProperty_29"
"88aa5075-cbe1-455d-a510-48ac75fc0847","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_30"
"a43fa8a6-9c7f-4a78-9803-7baf5db6a48d","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_31"
"1660b039-fbca-4387-9eb2-2f0ff152cbbb","True","True","VSORRES","VSORRES","float","BiomedicalConceptProperty","BiomedicalConceptProperty_32"
"6611740a-b5ca-458b-9cb0-8b3e935a748a","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_33"
"d45cd20d-134e-4045-b760-a84fc71ff3ce","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_34"
"b668f5ad-7c47-415e-b3c3-7de256a67ed2","True","True","VSORRES","VSORRES","float","BiomedicalConceptProperty","BiomedicalConceptProperty_35"
"b933b7f8-43f8-46b9-b4ef-4a9ebdbbec9e","True","True","VSORRESU","VSORRESU","","BiomedicalConceptProperty","BiomedicalConceptProperty_36"
"883ce6a9-b015-41aa-b364-1447a3470729","True","True","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty","BiomedicalConceptProperty_37"
