"uuid:ID","description","reasonDurationWillVary","instanceType","id","durationWillVary"
"d5bd9ef7-1f42-4427-a9df-c6ce86c639d0","","Need reason","AdministrationDuration","AdministrationDuration_1","True"
"164fad35-afa7-452b-b650-1027bd734089","","Need reason","AdministrationDuration","AdministrationDuration_2","True"
