"id","uuid:ID","description","instanceType","dateValue","name","label"
"GovernanceDate_1","ea57c643-ffb6-4ec8-bdad-8e0c9c995203","Design approval date","GovernanceDate","2006-06-01","D_APPROVE","Design Approval"
"GovernanceDate_2","66b0c133-1adb-4018-b732-b7b1f7029715","Protocol document approval date","GovernanceDate","2006-07-01","P_APPROVE","Protocol Approval"
